transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
B0348.6,901,703,496,328,934
B0350.2,1890,10936,8245,3343,2712
B0350.3,0,6,2,0,0
B0353.1,48,183,67,118,49
B0361.10,73,95,79,27,75
B0361.11,13,12,24,25,12
B0361.2,589,952,800,767,938
B0361.3,788,1063,840,858,1275
B0361.4,5,6,32,34,5
B0361.5,138,258,251,78,142
B0361.6,340,425,315,241,428
B0361.7,377,616,481,300,596
B0361.8,1123,1530,1787,2033,1979
B0361.9,100,356,275,214,180
B0365.1,3266,3353,2037,1472,3873
B0365.3,2661,2368,1925,1779,2635
B0365.5,13,23,44,39,16
B0365.6,644,946,699,381,604
B0365.7,10,31,65,29,7
B0365.9,13,43,65,38,37
B0379.1,391,339,420,394,332
B0379.2,6,5,12,9,0
B0379.3,5578,7421,6016,6211,9996
B0379.4,294,283,226,128,241
B0379.6,2,2,4,6,1
B0379.7,26,0,2,19,0
B0391.11,0,2,9,2,1
B0391.12,0,0,0,1,0
B0391.14,15,19,9,14,13
B0391.3,0,0,0,6,0
B0391.4,6,2,6,5,1
B0391.5,230,1148,1152,787,393
B0391.6,1,161,132,73,16
B0391.9,14,19,29,70,13
B0393.1,8670,12006,11923,15176,12610
B0393.2,891,964,520,385,1463
B0393.3,445,438,317,243,729
B0393.4,7,2,9,5,10
B0393.5,9,321,129,40,71
B0393.6,941,797,559,313,1185
B0393.7,3,7,10,2,5
B0393.8,638,2450,2671,2236,1550
B0393.9,112,128,212,247,188
B0395.1,30,59,45,53,21
B0395.2,5,8,3,5,3
B0395.3,168,224,127,90,144
B0399.1,15,35,50,36,25
B0399.2,0,2,0,4,0
B0403.2,1,30,16,5,4
B0403.3,25,127,202,105,33
B0403.4,1587,5119,2639,907,2153
B0403.5,9,64,81,88,22
B0403.6,11,6,10,6,2
B0410.1,2,10,8,7,2
B0410.2,22,61,50,27,42
B0410.3,146,189,163,73,123
B0412.1,18,26,53,58,9
B0412.2,7,17,28,28,25
B0412.3,803,1903,1491,1196,1260
B0412.4,5264,7992,8246,10734,9128
B0414.1,7,14,30,19,14
B0414.2,13,20,48,18,34
B0414.3,2408,2270,1797,1681,3204
B0414.5,412,342,248,101,474
B0414.6,109,184,128,67,147
B0414.7,824,1302,1648,915,1221
B0414.8,619,844,886,962,875
B0416.1,20,170,89,13,26
B0416.10,10,21,47,31,31
B0416.11,15,25,34,14,34
B0416.2,20,19,43,23,15
B0416.3,3,27,55,14,12
B0416.4,81,104,127,100,268
B0416.5,317,729,420,123,426
B0416.6,114,196,135,84,98
B0416.7,62,143,373,490,50
B0432.1,2,13,8,17,5
B0432.10,53,86,86,45,102
B0432.11,1,0,8,6,0
B0432.12,4,0,1,0,0
B0432.13,199,244,173,184,283
B0432.14,3,3,9,0,3
B0432.2,694,879,884,932,927
B0432.3,75,83,54,58,70
B0432.4,387,255,201,86,286
B0432.5,3,7,12,12,0
B0432.6,33,26,25,9,39
B0432.7,134,136,75,26,95
B0432.8,74,88,56,29,147
B0432.9,18,41,22,39,33
B0454.1,129,267,172,156,203
B0454.10,1,7,8,2,1
B0454.2,2,3,7,7,3
B0454.26,0,10,24,11,3
B0454.3,1,8,5,2,0
B0454.4,0,1,0,0,0
B0454.5,27,64,57,115,54
B0454.6,23,68,75,14,12
B0454.7,0,0,4,0,0
B0454.8,2,0,0,7,0
B0454.9,83,229,191,130,175
B0457.1,3041,3995,3099,1810,4190
B0457.2,75,121,178,267,113
B0457.4,3,13,53,17,12
B0457.6,261,1135,1570,1368,252
B0462.1,6,67,52,17,1
B0462.3,11,2,13,6,16
B0462.4,1,5,9,8,0
B0462.5,1,64,95,70,34
B0464.1,2496,7509,6462,2939,3408
B0464.2,1125,3191,2250,935,1736
B0464.3,1101,1501,2014,3156,1636
B0464.4,359,477,470,237,407
B0464.5,750,1317,990,580,1004
B0464.6,529,614,356,188,491
B0464.7,723,1700,1395,928,1145
B0464.8,670,1055,1155,1519,1330
B0464.9,144,190,134,167,227
B0478.1,7,32,26,37,18
B0478.3,1,0,8,7,2
B0491.1,68,88,88,42,78
B0491.2,21,0,4,9,0
B0491.3,18,1,0,14,0
B0491.4,1,2,6,11,0
B0491.5,935,1433,972,852,1192
B0491.6,308,321,315,220,300
B0491.7,140,212,190,149,223
B0491.8,2,12,7,11,4
B0495.1,0,5,3,4,5
B0495.10,21,237,267,87,35
B0495.2,359,461,375,249,487
B0495.4,262,353,236,141,157
B0495.5,206,329,248,145,233
B0495.6,778,1257,1131,1229,1408
B0495.7,850,1520,753,302,1114
B0495.8,677,1191,1007,431,1054
B0495.9,363,463,418,271,637
B0496.1,1,2,12,10,1
B0496.11,2,5,1,2,4
B0496.2,16,28,35,18,18
B0496.3,182,1046,897,385,277
B0496.5,0,3,0,6,0
B0496.6,0,3,9,15,0
B0496.7,776,2547,2685,3224,806
B0496.8,54,176,172,111,95
B0507.1,38,314,445,163,47
B0507.10,45,2588,2190,323,238
B0507.11,0,20,10,15,2
B0507.15,0,49,21,0,2
B0507.2,153,750,919,412,264
B0507.3,11,84,72,75,39
B0507.4,1,33,33,41,0
B0507.5,2,3,24,3,1
B0507.6,14,648,559,205,50
B0507.7,6,111,104,32,16
B0507.8,15,607,553,106,67
B0507.9,2,255,165,51,20
B0511.1,86,618,327,93,182
B0511.10,432,575,352,187,474
B0511.11,14,66,25,17,32
B0511.12,840,1456,1423,728,1140
B0511.13,434,402,381,210,741
B0511.17,0,0,0,1,0
B0511.2,14,27,22,25,29
B0511.3,1,0,0,0,1
B0511.4,3,4,0,12,1
B0511.5,9,35,80,35,32
B0511.6,1621,6901,9778,5152,3606
B0511.7,268,362,314,230,502
