GeneID	Count	CPM	RPKM
C34C6.6	480	59.8248303189737	39.6453481239057
C34C6.7	359	44.7439876760657	37.9507953147292
C34C6.8	6	0.747810378987171	2.93258972151832
C34C6.9	0	0	0
C34D10.1	38	4.73613240025208	7.66364466060208
C34D10.2	95	11.8403310006302	5.83842751510365
C34D1.1	18	2.24343113696151	2.76966807032286
C34D1.2	0	0	0
C34D1.3	22	2.74197138961963	2.56019737592869
C34D1.4	27	3.36514670544227	4.54135857684517
C34D1.5	1070	133.359517586045	204.853329625262
C34D4.1	47	5.85784796873284	3.80626898553141
C34D4.10	141	17.5735439061985	16.1373222279142
C34D4.11	11	1.37098569480981	3.33573161754212
C34D4.12	1798	224.093843569822	439.399693274161
C34D4.13	0	0	0
C34D4.14	389	48.4830395710016	5.85119956203254
C34D4.15	23	2.86660645278416	2.73792402367159
C34D4.2	14	1.7448908843034	1.76251604475091
C34D4.3	64	7.97664404252982	22.532892775508
C34D4.4	54	6.73029341088454	9.04609329419965
C34D4.8	1	0.124635063164528	0.124759822987516
C34D4.9	40	4.98540252658114	4.11336842127157
C34E10.1	29	3.61441683177133	2.76966807032286
C34E10.10	175	21.8111360537925	31.2033419939807
C34E10.11	37	4.61149733708755	6.00455382433275
C34E10.2	665	82.8823170044114	77.6051657344676
C34E10.3	90	11.2171556848076	4.18706819141753
C34E10.4	70	8.724454421517	8.05582125717174
C34E10.5	21	2.6173363264551	1.18700060156694
C34E10.6	524	65.3087730982129	40.3888516377322
C34E10.7	15	1.86952594746793	3.22888764674944
C34E10.8	80	9.97080505316228	3.24253822867066
C34E10.9	0	0	0
C34E11.1	165	20.5647854221472	14.1630753596055
C34E11.2	81	10.0954401163268	4.24356457180614
C34E11.3	85	10.5939803689849	2.1571941292985
C34E11.4	429	53.4684420975827	136.052015515478
C34E11.7	2	0.249270126329057	1.3188895572966
C34E7.1	53	6.60565834772001	4.35155358874836
C34E7.3	8	0.997080505316228	1.2932302273881
C34E7.4	12	1.49562075797434	2.00216968939002
C34F11.1	5	0.623175315822643	0.91508856948993
C34F11.2	68	8.47518429518794	21.5653544406818
C34F11.3	2349	292.767763373477	115.081667992719
C34F11.4	14	1.7448908843034	4.54398667787344
C34F11.5	83	10.3447102426559	3.85277848888487
C34F11.6	17	2.11879607379698	5.51769810884631
C34F11.8	629	78.3954547304884	116.659902872751
C34F11.9	92	11.4664258111366	5.43690175966649
C34F6.1	5	0.623175315822643	0.19897040735078
C34F6.10	41	5.11003758974567	1.16190031599492
C34F6.11	14	1.7448908843034	2.69273284614722
C34F6.12	1	0.124635063164528	0.399471356296566
C34F6.2	1071	133.48415264921	156.671540668087
C34F6.3	73	9.09835961101058	10.6788258345195
C34F6.4	29	3.61441683177133	3.70709418643213
C34F6.5	24	2.99124151594868	3.98832202126491
C34F6.7	22	2.74197138961963	2.21842345438481
C34F6.8	340	42.3759214759397	32.3974934831343
C34F6.9	40	4.98540252658114	1.40592287833648
C34G6.1	63	7.8520089793653	1.47955699630023
C34G6.2	1022	127.377034554148	56.4614514867678
C34G6.3	6	0.747810378987171	2.04319775679555
C34G6.4	40	4.98540252658114	1.30542092866749
C34G6.5	36	4.48686227392303	3.63014747081151
C34G6.6	60	7.47810378987171	2.36723766694261
C34G6.7	139	17.3242737798695	12.6086417611859
C34H3.1	20	2.49270126329057	1.75666050971851
C34H3.2	6	0.747810378987171	0.977529907172772
C34H4.1	2178	271.455167572343	227.349386576502
C34H4.2	292	36.3934384440423	26.9581025511425
C34H4.3	531	66.1812185403646	55.1510154503039
C34H4.4	132	16.4518283377178	18.5896365397941
C34H4.5	32	3.98832202126491	3.74490330635203
C35A11.1	0	0	0
C35A11.2	19	2.36806620012604	3.88845024651238
C35A11.3	11	1.37098569480981	1.37235805286268
C35A11.4	25	3.11587657911321	2.0128401673858
C35A5.1	48	5.98248303189737	6.29072874016548
C35A5.10	11	1.37098569480981	1.59231788015077
C35A5.11	0	0	0
C35A5.2	0	0	0
C35A5.3	665	82.8823170044114	59.9293687667473
C35A5.4	30	3.73905189493586	2.91203418608711
C35A5.5	33	4.11295708442944	2.63145046988448
C35A5.6	153	19.0691646641729	26.4849509224623
C35A5.7	10	1.24635063164529	0.858368203612455
C35A5.8	447	55.7118732345442	16.9285546139606
C35A5.9	45	5.60857784240378	5.58067447005352
C35B1.1	32	3.98832202126491	6.88829364639881
C35B1.2	153	19.0691646641729	11.2902099847086
C35B1.3	0	0	0
C35B1.4	586	73.0361470144137	219.327768812053
C35B1.5	8101	1009.66864669585	2214.18562871896
C35B1.7	6	0.747810378987171	2.93258972151832
C35B1.8	13	1.62025582113887	3.57672366697322
C35B1.9	0	0	0
C35B8.1	28	3.4897817686068	4.03909926922083
C35B8.2	83	10.3447102426559	3.42086978923805
C35B8.3	42	5.2346726529102	3.59031046152963
C35B8.4	121	15.0808426429079	49.771757897386
C35C5.1	216	26.9211736435382	3.02859417747082
C35C5.10	7	0.8724454421517	0.911646230043573
C35C5.11	8	0.997080505316228	0.474122922166537
C35C5.2	39	4.86076746341661	2.07725105274214
C35C5.3	165	20.5647854221472	27.6408406211656
C35C5.4	51	6.35638822139095	10.8101840499846
C35C5.5	51	6.35638822139095	3.98269938683644
C35C5.6	46	5.73321290556831	1.53994437431327
C35C5.8	60	7.47810378987171	7.39673965368122
C35C5.9	88	10.9678855584785	89.1698012884432
C35D10.1	77	9.59689986366869	14.3451417992058
C35D10.10	276	34.3992774334099	43.1068639516414
C35D10.11	12	1.49562075797434	4.53218411507376
C35D10.12	38	4.73613240025208	4.31341748656838
C35D10.13	56	6.9795635372136	16.2693788746238
C35D10.14	674	84.0040325728922	66.669867121343
C35D10.15	1	0.124635063164528	0.101826031997164
C35D10.16	10	1.24635063164529	2.44382476793193
C35D10.17	78	9.72153492683322	31.4612780803664
C35D10.2	126	15.7040179587306	14.6219906505871
C35D10.3	4	0.498540252658114	0.802802339224016
C35D10.4	94	11.7156959374657	5.16565076607834
C35D10.5	81	10.0954401163268	13.7352926752746
C35D10.6	1937	241.418117349692	279.419117302884
C35D10.7	57	7.10419860037812	4.401610037409
C35D10.8	145	18.0720841588566	36.0720242691749
C35D10.9	17	2.11879607379698	1.23472964673484
C35D6.1	33	4.11295708442944	4.06820680952467
C35D6.10	0	0	0
C35D6.2	33	4.11295708442944	4.06820680952467
C35D6.3	0	0	0
C35D6.4	0	0	0
C35D6.9	0	0	0
C35E7.1	38	4.73613240025208	2.16261753436168
C35E7.10	58	7.22883366354265	5.59074529276307
C35E7.11	30	3.73905189493586	9.58731255111758
C35E7.2	28	3.4897817686068	1.64302343154746
C35E7.3	10	1.24635063164529	0.842698195838597
C35E7.4	5	0.623175315822643	0.32105889532336
C35E7.5	643	80.1403456147918	21.150790608285
C35E7.6	29	3.61441683177133	3.00450276955222
C35E7.7	2	0.249270126329057	0.610956191982983
C35E7.8	147	18.3213542851857	15.903953372557
C35E7.9	230	28.6660645278416	31.6402478232247
C36A4.1	68	8.47518429518794	5.61642431755331
C36A4.10	1	0.124635063164528	1.09329002775902
C36A4.11	15	1.86952594746793	9.03152631627018
C36A4.2	207	25.7994580750574	17.0970563784343
C36A4.3	567	70.6680808142877	46.8310674713636
C36A4.4	87	10.843250495314	7.45240583870377
C36A4.5	86	10.7186154321495	4.08328206939027
C36A4.6	115	14.3330322639208	9.51728569981459
C36A4.8	148	18.4459893483502	10.0304455401578
C36A4.9	320	39.8832202126491	19.5218894824518
C36B1.1	147	18.3213542851857	5.19312763185535
C36B1.10	61	7.60273885303624	6.63415257682045
C36B1.11	353	43.9961772970786	44.711562293779
C36B1.12	98	12.2142361901238	6.14089300659819
C36B1.13	26	3.24051164227774	5.93500300783469
C36B1.14	38	4.73613240025208	15.7871080008403
C36B1.3	1370	170.750036535404	201.119006519911
C36B1.4	397	49.4801200763178	64.9345407825693
C36B1.5	142	17.698178969363	11.8700060156694
C36B1.6	492	61.320451076948	116.137217948765
C36B1.7	168	20.9386906116408	36.7345449327031
C36B1.8	88	10.9678855584785	3.4719485781825
C36B1.9	30	3.73905189493586	1.84644538021524
C36B7.1	20	2.49270126329057	1.84235126629015
C36B7.2	22	2.74197138961963	2.04472139419808
C36B7.3	0	0	0
C36B7.4	1	0.124635063164528	0.189703292487867
C36B7.5	27	3.36514670544227	0.976253758468892
C36B7.6	45	5.60857784240378	3.10037470558529
C36B7.7	26	3.24051164227774	9.15398769005012
C36B7.8	0	0	0
C36C5.10	0	0	0
C36C5.11	0	0	0
C36C5.12	435	54.2162524765699	82.145837085712
C36C5.14	1	0.124635063164528	0.205668421063578
C36C5.15	19	2.36806620012604	3.86938921589222
C36C5.2	3	0.373905189493585	0.376540976327881
C36C5.3	18	2.24343113696151	2.5263864154972
C36C5.4	4	0.498540252658114	1.03862552637107
C36C5.5	355	44.2454474234076	71.9438169486303
C36C5.6	15	1.86952594746793	3.10037470558529
C36C5.7	0	0	0
C36C5.8	17	2.11879607379698	2.89453015546036
C36C5.9	0	0	0
C36C9.1	23	2.86660645278416	1.14710142168233
C36C9.2	2	0.249270126329057	0.111082943996906
C36C9.3	2	0.249270126329057	0.202165552578311
C36C9.4	33	4.11295708442944	2.04015728394317
C36C9.5	14	1.7448908843034	1.19923772117072
C36C9.6	9	1.12171556848076	2.87619376533527
C36E6.1	31	3.86368695810038	2.00606799486001
C36E6.2	100	12.4635063164529	17.3104254395179
C36E6.3	73	9.09835961101058	17.7355937836464
C36E6.5	1219	151.93014199756	296.160120852944
C36E6.8	6	0.747810378987171	2.01024295426659
C36E8.1	114	14.2083972007562	7.23073648893448
C36E8.2	14	1.7448908843034	2.28090311673647
C36E8.3	458	57.0828589293541	38.1315022908177
C36E8.4	103	12.8374115059464	7.79442107222006
C36E8.5	3762	468.877107624956	346.546273189177
C36E8.6	12	1.49562075797434	5.41891578976211
C36F7.1	34	4.23759214759397	3.73685374567369
C36F7.2	74	9.22299467417511	10.2820453446768
C36F7.4	22	2.74197138961963	1.89231979959947
C36F7.5	131	16.3271932745532	16.8495286631096
C36H8.1	22	2.74197138961963	2.18136148736645
C36H8.2	12	1.49562075797434	1.27830834014901
C36H8.3	4	0.498540252658114	1.61339887591623
C37A2.2	353	43.9961772970786	11.6855716592506
C37A2.3	29	3.61441683177133	2.71965149117481
C37A2.4	158	19.6923399799955	12.5030730031717
C37A2.5	34	4.23759214759397	1.7503478511334
C37A2.6	124	15.4547478324015	21.0268677991858
C37A2.7	6317	787.319694010327	2429.99905558743
C37A2.8	1259	156.915544524141	155.208253733078
C37A5.1	4	0.498540252658114	0.323937786002673
C37A5.11	0	0	0
C37A5.2	5851	729.239754575656	1266.04124058274
C37A5.3	140	17.448908843034	72.703786845975
C37A5.4	2604	324.549704480432	563.454348056306
C37A5.5	181	22.5589464327797	83.5516534547395
C37A5.6	82	10.2200751794913	38.7124059829217
C37A5.7	22	2.74197138961963	2.31977274925518
C37A5.8	2778	346.23620547106	1282.35631655948
C37A5.9	64	7.97664404252982	4.5296104727597
C37C3.1	105	13.0866816322755	9.26162889757643
C37C3.10	24	2.99124151594868	8.04097181706635
C37C3.11	26	3.24051164227774	6.66771942855502
C37C3.12	82	10.2200751794913	19.6918596907348
C37C3.13	342	42.6251916022687	98.6694250052517
C37C3.2	1196	149.063535544776	113.702162886938
C37C3.3	10	1.24635063164529	1.90573491077261
C37C3.4	13	1.62025582113887	1.44407827195978
C37C3.6	226	28.1675242751834	4.33080016531111
C37C3.7	0	0	0
C37C3.8	10	1.24635063164529	1.18361883347131
C37C3.9	202	25.1762827592348	26.7264148187205
C37E2.1	117	14.5823023902498	12.7914933247806
C37E2.2	19	2.36806620012604	3.49272300903546
C37E2.3	14	1.7448908843034	1.96496721205338
C37E2.4	0	0	0
C37E2.5	9	1.12171556848076	1.34016196951106
C37F5.1	56	6.9795635372136	5.26362257708416
C37H5.1	7	0.8724454421517	0.826179395976988
C37H5.10	11	1.37098569480981	4.19261680369973
C37H5.11	26	3.24051164227774	10.095051845102
C37H5.13	324	40.3817604653072	32.4351489681183
C37H5.14	33	4.11295708442944	3.85108341238712
C37H5.2	8	0.997080505316228	0.933595978760513
C37H5.3	732	91.2328662364349	68.3392256452696
C37H5.4	3	0.373905189493585	0.783868321789487
