transcript_stable_ID,Nr01,Nr02,Nr03,Nr04,Nr05,Nr06,Nr07,Nr08,Nr09,Nr10,Nr11,Nr12
Y45F10B.13a,6,4,8,2,2,5,7,6,7,5,5,6
Y45F10B.15,2,1,2,2,1,0,1,2,1,3,2,1
Y45F10B.3,0,0,0,0,0,0,0,0,0,0,1,1
Y45F10B.8,0,0,0,0,0,0,1,0,0,0,0,0
Y45F10B.9,0,0,0,0,0,0,0,0,0,0,0,0
Y45F10C.1,0,0,0,0,0,0,0,0,0,0,0,0
Y45F10C.2,21,11,33,15,38,13,20,14,33,30,41,33
Y45F10C.4,1442,582,1163,683,1290,765,794,1066,1375,1106,1479,1319
Y45F10C.6,24,15,14,14,20,19,16,26,18,16,20,27
Y45F10D.14,3,2,2,1,3,1,2,4,4,3,5,6
Y45F10D.15,0,0,2,0,0,0,1,0,0,0,3,5
Y45F10D.16,4,1,1,1,1,1,1,4,1,2,2,2
Y45F10D.2,2,1,2,3,3,1,1,1,5,2,3,4
Y45F10D.4,4307,1339,2668,2325,2947,1646,1886,2156,2731,2424,3215,2231
Y45F10D.6,30,9,29,18,31,19,26,24,34,24,33,29
Y45F10D.7,1347,630,810,708,809,766,702,954,869,663,652,846
Y45F3A.1,171,69,100,94,120,78,81,111,121,107,150,111
Y45F3A.4,176,82,137,87,142,112,151,213,185,166,142,175
Y45F3A.5,1,0,0,0,0,0,1,0,0,0,0,0
Y45F3A.8,3,2,5,3,3,2,3,5,9,4,1,2
Y45F3A.9,749,335,442,423,502,360,382,527,459,499,399,411
Y45G12B.2a,310,197,210,171,210,192,233,272,214,161,127,234
Y45G12B.3a,905,534,543,427,561,657,580,773,571,451,396,707
Y45G12C.1,72,29,52,39,69,37,53,53,57,53,62,48
Y45G12C.10,0,0,0,0,0,0,0,0,0,0,0,0
Y45G12C.11,0,0,0,0,0,0,0,0,0,0,0,0
Y45G12C.16,0,0,0,0,0,0,0,0,0,0,0,0
Y45G12C.3,0,0,0,0,0,0,0,0,0,0,0,0
Y45G12C.4,0,0,0,0,0,0,0,0,0,0,0,0
Y45G12C.6,0,0,0,0,0,0,0,0,0,0,0,0
Y45G5AL.1a,461,290,273,230,252,396,379,490,334,177,158,364
Y45G5AM.2a,1779,956,901,907,844,1059,1133,1250,938,670,471,1129
Y45G5AM.3a,324,114,227,147,240,162,208,222,274,185,243,245
Y45G5AM.4,4,1,2,1,1,1,4,2,0,3,1,1
Y45G5AM.5,621,191,379,294,383,258,231,250,461,259,458,367
Y45G5AM.6a,169,117,131,102,117,126,131,184,173,119,147,184
Y45G5AM.7a,3361,1735,2122,1951,2105,2096,2001,2710,1998,2305,1629,2282
Y45G5AM.9a,6,3,5,4,3,1,1,11,4,3,1,6
Y46B2A.3,2,0,1,0,1,0,0,0,1,0,0,3
Y46D2A.1,113,51,76,54,77,55,86,88,79,77,93,67
Y46D2A.2,124,68,80,78,101,95,93,80,114,55,106,86
Y46D2A.3a,1,0,0,0,0,0,0,1,0,0,0,0
Y46E12A.2,5,0,2,0,2,1,1,8,1,1,1,2
Y46E12A.3,15,2,10,2,4,10,10,12,9,13,17,8
