external_gene_name,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
B0524.5,2,29
B0545.1a,6,5
B0545.3,3,20
B0546.1,717,714
B0546.2,758,472
B0546.4a,63,60
B0547.1,829,454
B0563.4,188,295
B0564.11,554,374
B0564.1a,358,211
B0564.1b,390,263
B0564.2,108,70
B0564.3,12,14
B0564.7,818,441
BE0003N10.2,479,262
C01A2.2a,1,1
C01A2.3,529,315
C01A2.4,796,953
C01A2.5,494,352
C01A2.7,5,11
C01B10.11,46,142
C01B10.3,291,588
C01B10.6a,25,48
C01B10.8,1406,813
C01B10.9,664,457
C01B12.1,21,13
C01B12.2,116,93
C01B12.3,13,31
C01B12.8,285,151
C01B7.1b,118,125
C01B7.4,50,36
C01C10.1,11,3
C01C10.3,101,218
C01C10.4,8,6
C01C4.1,2,17
C01C4.3a,49,110
C01C7.1a,941,555
C01F1.1,1213,894
C01F1.3a,24,98
C01F1.6,851,550
C01F6.1,1083,587
C01F6.2,19,140
C01F6.4,395,216
C01F6.5,124,136
C01F6.6a,14,22
C01F6.6b,6,18
C01F6.6c,1,1
C01F6.8a,32,18
C01F6.8b,61,33
C01F6.9,849,700
C01G10.10,225,235
C01G10.14,4,71
C01G10.7,488,325
C01G10.8,4362,3370
C01G12.1,58,25
C01G12.3,8,54
C01G12.9,4,20
C01G5.5,229,112
C01G5.6,1148,646
C01G6.1a,2,4
C01G6.3,1151,614
C01G6.4,254,245
C01G6.5,3427,2536
C01G6.6a,1130,644
C01G6.7,26,33
C01G6.8a,45,23
C01G8.1a,129,54
C01G8.2,115,82
C01G8.4,150,94
C01G8.5a,21,10
C01G8.5b,2,1
C01G8.6,367,346
C01H6.3,1,5
C01H6.4,1,6
C01H6.5a,11,5
C01H6.7a,146,92
C01H6.8a,2,2
C02A12.1,6,10
C02A12.4,236,435
C02B10.1,1323,973
C02B10.2,367,242
C02B10.3,30,58
C02B10.4,1062,634
C02B4.1,12,30
C02B4.4,4,10
C02B8.3,5,24
C02B8.4,1,3
C02C2.1,38,24
C02C2.3,15,29
C02C6.1b,33,25
C02C6.3b,29,33
C02D5.2b,2,5
C02D5.3,3,4
C02D5.4,137,146
C02E11.1a,5,5
C02E11.1b,7,3
C02E7.6,2,3
C02F12.10,4,5
C02F12.3,18,41
C02F12.5,33,24
C02F12.7,145,269
C02F4.1,1922,1072
C02F4.4,8,2
C02F5.10,13,20
C02F5.12,117,102
C02F5.13,245,142
C02F5.14,15,38
C02F5.3,646,433
C02F5.4,670,432
C02F5.5,4,43
C02F5.8,1,1
C02F5.9,2165,1307
C02H6.2,7,1
C03A3.2,277,248
C03A7.14,37,17
C03B1.12,527,555
C03B1.13,23,69
C03B1.14,14,13
C03B8.3,5,39
C03B8.4,4513,2628
C03C10.1,2282,1852
C03C10.3,2915,1509
C03C10.4,669,358
C03C11.1,2,43
C03C11.2,11,167
C03D6.3a,113,63
C03D6.6,297,190
C03D6.8,558,394
C03E10.4,1065,675
C03E10.6,159,449
C03F11.3,165,288
C03F11.4,14,38
C03G5.1,588,716
C03G5.11,111,260
C03G5.2,4,15
C03G5.7,9,29
C03G5.8,1,5
C03G6.15,300,709
C03G6.17,2,7
C03G6.19,105,137
C03G6.3,4,4
C03G6.5,24,37
C03H5.1,43,88
C03H5.2,455,404
C03H5.3,791,431
C03H5.7,1,1
C04A11.1,2,4
C04A2.1,16,18
C04A2.3a,106,57
C04A2.3b,2,1
C04A2.7a,65,40
C04A2.7b,55,30
C04A2.7c,35,30
C04A2.7d,1,1
C04C11.2,180,286
C04C3.3,1092,773
C04D8.1b,12,7
C04E12.2,28,64
C04E12.7,6,2
C04E6.13,9,7
C04E6.7,18,47
C04E7.5,1,6
C04F1.1,2,2
C04F12.10,863,655
C04F12.3,80,146
C04F12.4,6245,4791
C04F12.7,121,988
C04F12.9,147,197
C04F5.1,1063,565
C04F5.7,14,33
C04F5.8,446,260
