external_gene_name,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
C31B8.8,31,44
C31C9.1a,4,7
C31C9.2,170,159
C31C9.7,8,39
C31E10.6,87,66
C31E10.7,219,284
C31G12.1,35,15
C31H1.6a,5,12
C31H1.8,1500,797
C31H5.3a,1,2
C31H5.4,24,36
C31H5.6a,3,7
C32A3.1a,17,14
C32C4.3c,2,32
C32D5.1,27,37
C32D5.10,756,393
C32D5.12,11,9
C32D5.2,27,32
C32D5.3,1766,1111
C32D5.5,418,229
C32D5.6,32,24
C32D5.8b,11,17
C32D5.9,2676,3268
C32E12.3,8,9
C32E12.5,74,28
C32E8.10e,13,9
C32E8.10h,18,9
C32E8.2a,10676,8791
C32E8.4,6,38
C32E8.5,797,393
C32E8.9,116,152
C32F10.1a,818,711
C32F10.2,2164,1467
C32F10.4,234,396
C32F10.6,132,135
C32F10.8a,1145,1131
C32H11.12,66,1
C32H11.4,14,1
C33A11.1,24,55
C33A12.1,530,479
C33A12.19,12,10
C33A12.2,5,9
C33A12.3,488,278
C33A12.4,19,18
C33A12.7,43,44
C33B4.4,29,32
C33C12.10,59,54
C33C12.4,1,7
C33C12.9,95,59
C33D12.3,8,8
C33D12.7,3,3
C33D3.1,24,15
C33D9.1a,39,93
C33D9.3a,5,2
C33D9.6,58,45
C33E10.1,1,4
C33F10.1,15,139
C33F10.11a,2,25
C33F10.12,11,116
C33F10.14,209,149
C33F10.4,225,97
C33F10.8,10,116
C33F10.9,61,533
C33G3.6,119,153
C33G8.10,1,5
C33G8.11,28,50
C33G8.4,21,45
C33G8.5,6,11
C33G8.8,3,4
C33H5.10,816,378
C33H5.11,611,426
C33H5.12a,343,239
C33H5.12b,27,29
C33H5.13,16,41
C33H5.14,556,340
C33H5.15,759,473
C33H5.17,302,194
C33H5.18a,12,15
C33H5.19,322,215
C33H5.4a,461,233
C33H5.7,1098,593
C33H5.8,445,238
C33H5.9,543,377
C34B2.10,704,463
C34B2.11,6,12
C34B2.2,501,241
C34B2.3,3,65
C34B2.4,1,3
C34B2.5,319,194
C34B2.6,1841,1182
C34B2.7,2216,1209
C34B2.8,860,856
C34B4.2a,422,258
C34B7.1,19,19
C34B7.3,56,95
C34B7.4,593,370
C34C12.3,525,303
C34C12.4,137,191
C34C12.5,240,316
C34C12.7,7,5
C34C12.8,552,385
C34C6.10,4,2
C34C6.4,563,482
C34D1.5c,9,8
C34D10.1,93,103
C34D4.15,18,15
C34D4.3,17,143
C34D4.4b,394,316
C34D4.9,3,3
C34E10.1,765,515
C34E10.10,387,295
C34E10.2,638,365
C34E10.4a,205,136
C34E10.4b,491,282
C34E10.5,1222,701
C34E10.6,24018,22128
C34E10.7,1,1
C34E11.1,293,358
C34E11.4,4,7
C34E7.4,17,45
C34F11.1,1,19
C34F11.2,11,80
C34F11.3a,9,3
C34F11.3c,7,16
C34F11.4,24,222
C34F11.6,17,127
C34F11.8,21,31
C34F11.9a,1,1
C34F6.1,30,68
C34F6.11,7,12
C34F6.2,4897,9773
C34F6.3,118,49
C34F6.4,84,47
C34F6.8,293,361
C34G6.2,325,315
C34G6.3,8,98
C34G6.4,283,579
C34G6.7a,356,296
C34H4.2,86,64
C34H4.3,13,13
C34H4.4b,6,8
C35A11.2,4,23
C35A11.4,4,4
C35A5.3,42,67
C35A5.6a,7,14
C35B1.1,557,423
C35B1.4,547,766
C35B1.5,143,152
C35B8.1,36,13
C35B8.2a,216,178
C35B8.3a,145,165
C35B8.4,97,179
C35C5.1,180,177
C35C5.3a,4,6
C35C5.3b,10,17
C35C5.8a,5,5
C35C5.9,4,9
C35D10.1,298,221
C35D10.10,591,320
C35D10.11,22,201
C35D10.14,145,287
C35D10.16,680,413
C35D10.17,89,92
C35D10.2,48,613
C35D10.4,1209,805
C35D10.5,333,180
C35D10.6,573,425
C35D10.7a,57,28
C35D10.8,53,79
C35D10.9a,564,317
C35E7.10a,12,207
C35E7.11,2,4
C35E7.2a,4,2
C35E7.9,69,335
C36A4.4,2117,1104
C36A4.8b,97,48
C36A4.9a,45,37
C36A4.9b,1,3
C36B1.10,20,200
C36B1.11,1525,767
C36B1.12a,10,2
C36B1.12b,82,29
C36B1.14,69,44
C36B1.1b,1,2
C36B1.1c,31,64
C36B1.4,1394,794
C36B1.7,220,110
C36B1.8c,3181,1750
C36B7.6,732,793
C36B7.7,2,5
C36E6.1a,15,19
C36E6.2,41,32
C36E6.3,1575,3387
C36E6.5,3510,7075
C36E8.1,1715,1078
C36E8.2,4,13
C36E8.3,73,97
C36E8.4,12,24
C36E8.5,16246,11267
C36F7.2,286,119
C36H8.2,8,19
C36H8.3,15,41
C37A2.3,8,49
C37A2.4a,114,56
C37A2.4b,9,1
C37A2.5a,622,463
C37A2.7,2953,2335
C37A2.8a,756,429
C37A5.1,14,15
C37A5.7,129,105
C37A5.8,24,4
C37A5.9,67,82
C37C3.12,3,15
C37C3.13,5,16
C37C3.2c,89,92
C37C3.6a,194,384
C37C3.6c,6,5
C37C3.9,946,486
C37E2.1,381,575
C37E2.5,22,76
C37F5.1,47,84
C37H5.13a,128,141
C37H5.2,31,76
C37H5.3b,119,145
C37H5.6a,16,12
C38C10.1,4,6
C38C10.2,1781,1180
C38C10.4,248,184
C38C3.10,10,17
C38C3.4a,2,15
C38C6.2,150,181
C38C6.6,4,3
C38D4.1a,179,131
C38D4.3,6231,3745
C38D4.4,1343,674
C38D4.6a,29,23
C38D4.7,18,36
C38D4.9,72,64
C38H2.2,75,99
C39B5.2,28,18
C39B5.6,278,165
C39D10.3a,8,20
C39D10.8a,1,5
C39D10.8b,1,2
C39E6.1,59,56
C39E9.11,923,531
C39E9.13,1366,668
C39E9.14a,17,5
C39E9.14b,1,5
C39E9.2,22,43
C39F7.2b,40,42
C39F7.4,1122,1021
C39F7.5,50,57
C39H7.1,18,251
C39H7.4,64,91
C40A11.2,1,1
C40D2.2,31,50
C40H1.4,9,44
C40H1.5,86,280
C40H1.6,161,133
C40H1.8,9,19
C41C4.10,90,201
C41C4.4a,1795,1144
C41C4.6,1299,850
C41C4.7a,80,53
C41C4.8,7369,4257
C41D11.1b,3,2
C41D11.1c,3,5
C41D11.1d,1,1
C41D11.1f,11,25
C41D11.2,1092,636
C41D11.5,681,374
C41D11.8,524,365
C41D11.9,162,87
C41G11.1a,22,23
C41G7.1b,22,18
C41G7.2,1035,495
C41G7.6,22,420
C41G7.9a,487,389
C41H7.3,201,128
C41H7.6,204,114
C42C1.10a,46,20
C42C1.10d,18,16
C42C1.11a,13,9
C42C1.11b,2,3
C42C1.11c,8,6
C42C1.12,99,60
C42C1.13b,11,8
C42C1.14,3507,3000
C42C1.15,246,177
C42C1.4b,89,42
C42C1.5,271,222
C42C1.9b,3,10
C42D4.1,862,1335
C42D4.3,44,29
C42D4.6,62,63
C42D8.1,26,32
C42D8.2a,22836,38512
C42D8.5a,6,9
C42D8.8a,28,54
C43C3.1,13,27
C43E11.1,1581,866
C43E11.10,1035,640
C43E11.11,998,651
C43E11.12b,196,130
C43E11.2a,290,165
C43E11.4,1016,573
C43E11.6c,2,3
C43E11.7,257,152
C43E11.9,184,154
C43F9.8,4,16
C43G2.3,5,48
C43G2.5,6,8
C43H6.1,33,72
C43H6.3,19,16
C43H6.7,45,31
C43H6.9,1,3
C43H8.1,112,80
C43H8.2,461,266
C44B11.3,49,125
C44B11.4,5,23
C44B11.6,3,4
C44B12.1,9410,12488
C44B12.2,3003,7169
C44B7.1,218,110
C44B7.10,2392,2443
C44B7.2b,194,135
C44B7.4,7,16
C44B7.5,1058,1912
C44B7.6a,1,11
C44B7.8,79,168
C44B9.3,496,269
C44B9.5,853,460
C44C1.1,6,5
C44C1.2,153,161
C44C1.3,2,1
C44C1.4a,114,66
C44C1.5a,32,28
C44C10.8,18,12
C44C10.9a,4,9
C44C11.1a,36,55
C44C8.6b,366,461
C44E12.1,11,22
C44E4.3,953,617
C44E4.4,3478,2696
C44E4.5,826,454
C44E4.6,879,1160
C44F1.2,5,78
C44F1.3,285,722
C44H4.3,17,12
C44H4.5,72,76
C44H4.7b,2,2
C45B11.1a,39,21
C45B11.1b,28,21
C45B11.3,41,48
C45B11.6,2,6
C45B11.9,1,4
C45B2.1,61,144
C45B2.5,120,163
C45B2.6,167,142
C45B2.7,8,8
C45E1.1a,2,8
C45E5.1,1,5
C45E5.4,4,12
C45E5.6a,244,184
C45G3.3,200,109
C45G3.5,665,362
C45G7.3,1,1
C45G9.13,6,10
C45G9.2,544,228
C45G9.5,840,515
C45G9.6b,18,66
C45H4.14a,30,8
C46A5.3b,62,29
C46A5.9,2944,1612
C46C11.2b,44,74
C46C11.3,8,24
C46C2.2,234,154
C46C2.6b,1,3
C46C2.7,49,34
C46E10.4,84,43
C46E10.8,3,2
C46F11.2a,21,7
C46F11.3,191,92
C46F11.5a,12,3
C46F11.6,13,11
C46F4.1b,4,1
C46F4.2,79,130
C46G7.1,142,224
C46G7.2,889,1635
C46G7.5,8,5
C46H11.11,193,353
C46H11.2,16,17
C46H11.4a,1,3
C46H11.4b,1,3
C46H11.4c,4,9
C46H11.9,8,9
C47A10.5a,7,11
C47A4.3,5,48
C47B2.2b,531,320
C47B2.3,12076,8504
C47B2.4,1641,1020
C47B2.5,539,380
C47B2.6b,2,2
C47B2.9,107,92
C47C12.6,3,19
C47D12.1b,4,2
C47D12.1c,1,1
C47D12.2,2755,1519
C47D12.3b,13,51
C47D12.4,1,1
C47D12.5,53,112
C47D12.6a,38,18
C47D12.7a,9,7
C47D2.2,326,345
C47E12.1,2949,2076
C47E12.2,542,336
C47E12.3,588,494
C47E12.4a,7,16
C47E12.4c,16,20
C47E12.5a,180,133
C47E12.5c,17,12
C47E12.7,543,371
C47E12.8,35,41
C47E8.3,20,24
C47E8.4a,850,515
C47E8.5,81965,82539
C47E8.7,612,796
C47F8.1,28,34
C47G2.2,3,3
C47G2.3,234,122
C48A7.1b,5,16
C48A7.2,1884,1338
C48B4.10,441,287
C48B4.11,677,404
C48B4.4a,2534,1551
C48B4.6,207,146
C48B4.8b,135,131
C48B4.9,453,322
C48B6.10,118,102
C48B6.2,126,68
C48B6.3,698,485
C48B6.6a,2022,1356
C48B6.9,78,47
C48D1.2a,1445,815
C48D1.3,1,3
C48D1.9a,2,5
C48D5.1a,2,3
C48E7.1,58,86
C48E7.10,118,277
C48E7.11,189,131
C48E7.2,884,489
C48E7.3,752,462
C48E7.5,20,35
C48G7.3a,2093,1219
C49A1.10,35,99
C49A9.10,183,118
C49A9.3,18,26
C49A9.4,32,36
C49A9.5,45,119
C49A9.6,339,581
C49A9.9a,221,325
C49A9.9b,2,2
C49C3.11,7,3
C49C3.12,2,3
C49C3.15,15,27
C49C3.6,301,173
C49C3.7,565,391
C49C3.8a,6,6
C49C8.5,77,77
C49F5.1,270,317
C49F5.7,26,44
C49F8.3,2,6
C49G7.10,152,34
C49G7.12,3,4
C49G7.3,187,586
C49G7.4,16,42
C49G7.6,1,1
C49G9.1,7,1
C49G9.2,3,1
C49H3.1,1,1
C49H3.11,8682,7276
C49H3.3,763,485
C49H3.4,171,110
C49H3.9,655,474
C50A2.3,8,17
C50B6.2,7169,3357
C50B6.3,1231,643
C50B6.4,58,41
C50B6.8,4,6
C50B8.1,298,228
C50B8.2,559,349
C50B8.3,359,240
C50B8.5,3,3
C50B8.6,30,62
C50C3.1,668,341
C50C3.7,550,366
C50C3.8,2398,1584
C50C3.9b,6,6
C50D2.1,3,1
C50D2.10,20,9
C50D2.4,2,5
C50D2.5,309,189
C50D2.6,2,3
C50D2.7,495,399
C50D2.8,504,324
C50E10.1,11,131
C50E3.11,84,33
C50E3.13,233,92
C50E3.5,901,484
C50E3.6,4,17
C50F2.10,2,7
C50F2.6b,1,1
C50F2.7,6,18
C50F2.9,4,11
C50F4.10,9,63
C50F4.11,1302,707
C50F4.13,384,534
C50F4.14b,845,540
C50F4.16,792,455
C50F4.4,82,52
C50F4.5,2306,3990
C50F4.6,194,343
C50F4.7,180,295
C50F4.8,3,11
C50F4.9,1,4
C50F7.10,73,155
C50F7.4,1595,936
C50F7.6,57,46
C50H2.1,87,238
C50H2.13,31,34
C50H2.3,5,4
C51E3.10a,5,9
C51E3.7a,44,78
C51E3.9,85,195
C52A10.1,181,255
C52B11.5,46,48
C52B9.11,1,2
C52B9.2b,16,12
C52B9.3a,4,15
C52B9.7a,21,19
C52D10.11,19,48
C52D10.12,48,41
C52D10.13,36,41
C52D10.6,3,5
C52D10.8,6,9
C52E12.1,1937,1074
C52E12.2a,71,88
C52E12.3,473,279
C52E4.1,1727,4925
C52E4.2a,20,27
C52E4.3,1125,707
C52E4.4,2940,1557
C52E4.5a,15,45
C52E4.6a,1387,866
C52E4.7,8,85
C52G5.2,15,29
C53A3.2,40,59
C53A5.1,1920,2356
C53A5.16,156,102
C53A5.17,265,152
C53A5.3,1620,863
C53A5.4,4,35
C53B4.3,10,24
C53B4.4d,3305,2064
C53B4.5,26710,46856
C53B4.6,118,86
C53B7.1,45,68
C53B7.2,173,293
C53B7.3b,21,20
C53B7.4,277,485
C53C11.2,1,5
C53C9.2,162,494
C53D5.4,154,101
C53D5.6,9752,6071
C53D6.2,13,16
C53D6.4,425,238
C53H9.1,8187,6525
C53H9.2a,148,98
C53H9.3,26,36
C54C6.1,1,1
C54C6.6,158,97
C54C6.7,7,5
C54C8.9,7,9
C54D1.3,17,42
C54D1.6,9,38
C54D1.7,7,8
C54D10.1,53,91
C54D10.10,4,10
C54D10.2,1,2
C54D10.3,249,1031
C54D10.4,2,50
C54D2.5a,19,25
C54E10.5,8,8
C54E4.2a,24,53
C54F6.12,3,1
C54F6.14,1,11
C54F6.5,3,3
C54G10.2a,3794,1966
C54G10.3,628,426
C54G4.1b,108,224
C54G4.3,9,85
C54G4.5,1,1
C54G4.7,850,783
C54G4.8,2758,2523
C54G4.9,307,177
C54G6.1a,19,7
C54G6.5,785,843
C54G7.2,113,148
C54H2.1a,29,24
C54H2.3,266,168
C54H2.5,379,425
C55A6.1,419,237
C55A6.11,1,14
C55A6.6,12,38
C55A6.7,10,26
C55B6.1a,80,59
C55B7.1,1628,894
C55B7.10,3,22
C55B7.11,507,367
C55B7.2,37,84
C55B7.3,45,205
C55B7.4a,1653,2717
C55B7.4b,1,2
C55B7.5,1359,769
C55B7.6,3,3
C55B7.9,178,126
C55C3.3,41,136
C55C3.5,1109,638
C55F2.1b,123,413
C55F2.2,20,21
C56A3.2,3,15
C56A3.4a,354,249
C56A3.5,712,451
C56A3.6b,1,1
C56A3.6d,74,56
C56C10.10,451,259
C56C10.3,1050,1028
C56C10.7a,241,167
C56C10.8,13675,8817
C56C10.9,286,169
C56E6.2,103,135
C56E6.3a,1,2
C56E6.3b,23,13
C56E6.5,1,1
C56G2.1b,1349,1196
C56G2.4,4,1
C56G2.6b,3,5
C56G2.7,1637,1137
C56G2.9,10,12
C56G7.1,1167,1085
C56G7.3,93,117
CC4.2,9,37
CC4.3,869,517
CC8.2a,1,2
CC8.2b,61,56
CD4.2,131,84
CD4.3,313,189
CD4.6,2531,1633
CD4.7b,132,97
cTel55X.1a,4,12
D1005.2,11,17
D1007.10b,181,125
D1007.12,15295,13627
D1007.14,146,389
D1007.18,4,3
D1007.4,128,70
D1007.5a,146,71
D1007.6,12502,10131
D1007.8,229,161
D1009.1a,130,231
D1009.2b,3,3
D1009.4,17,32
D1014.3,1368,875
D1014.4,243,134
D1014.8,575,327
D1022.1a,16,11
D1022.3,5,6
D1022.4,107,170
D1022.7a,4386,2583
D1022.8,5,1
D1025.1,38,46
D1025.2,23,26
D1025.4,25,71
D1025.6,8,15
D1025.7,12,77
D1025.8,3,17
D1025.9,7,22
D1037.1,1037,602
D1037.3,504,615
D1037.4,509,331
D1046.1b,11,5
D1046.1c,53,40
D1046.3,329,146
D1046.5b,10,43
D1046.7,52,15
D1053.1,31,70
D1054.1,90,71
D1054.10,3029,5027
D1054.11,3885,6591
D1054.14,915,542
D1054.15a,224,152
D1054.2,1223,719
D1054.3,611,378
D1054.8,40,45
D1054.9c,3,5
D1069.2,17,19
D1069.3b,511,276
D1081.2,32,71
D1081.5,7,98
D1081.6a,111,65
D1081.7b,10,4
D1081.8,2909,1715
D1086.1,23,65
D1086.10a,627,799
D1086.10c,211,310
D1086.11b,199,335
D1086.12b,5,7
D1086.17,14,147
D1086.18,6,11
D1086.2a,3,5
D1086.3,84,176
D1086.4a,244,138
D1086.5,15,25
D1086.6,625,1168
D1086.8a,11,33
D2005.2,4,7
D2005.3,434,340
D2007.4,298,152
D2007.5,671,414
D2013.2,634,402
D2013.3,43,32
D2013.6,441,391
D2013.7,1532,939
D2013.8a,670,589
D2013.9,8104,10379
D2021.2a,65,48
D2021.4a,4,8
D2023.1b,7,37
D2023.1g,1,2
D2023.2,2832,2734
D2023.4,205,122
D2023.5,690,392
D2023.6,854,514
D2023.7,1,5
D2024.2,8,11
D2024.3b,580,416
D2024.5a,13,7
D2024.6,674,484
D2024.7,14,29
D2030.1,1105,604
D2030.10a,5,4
D2030.11,51,36
D2030.12,8,12
D2030.2a,303,221
D2030.3,624,340
D2030.4,329,350
D2030.5,151,170
D2030.6,3943,2773
D2030.7,1088,559
D2030.8,666,333
D2030.9b,8,9
D2030.9c,3,2
D2045.1c,10,4
D2045.1d,184,96
D2045.6,1224,664
D2045.8,13,20
D2045.9,26,22
D2062.1,1,14
D2062.6,2,25
D2063.1,5,27
D2063.3a,49,44
D2063.3b,1,2
D2085.2,17,18
D2085.4,1111,627
D2085.5b,1404,934
D2085.6,325,137
D2085.7,3,5
D2089.1a,881,627
D2089.3,83,54
D2089.4a,1,6
D2089.5,105,124
D2092.2,1076,566
D2092.4,222,523
D2092.6,1,1
D2096.10,4,1
D2096.13,13,22
D2096.2a,455,555
D2096.3,125,286
D2096.4,1854,1002
D2096.7a,47,54
D2096.7b,466,442
D2096.8,6657,5117
DC2.3a,9,4
DC2.3b,79,91
DC2.5,21,12
DC2.7b,7,8
DC2.8,47,39
DH11.1,25,46
DH11.5b,3,9
DY3.1,153,103
DY3.2,3021,1880
DY3.4a,64,37
DY3.6,26,34
DY3.7,2236,1198
DY3.8,507,218
E01A2.10,32,74
E01A2.1b,3,4
E01A2.2a,1056,538
E01A2.4,2189,1286
E01A2.5,93,54
E01A2.6,924,654
E01A2.7,28,48
E01G4.3a,37,74
E01G4.4,639,415
E01G6.2,6,7
E01H11.1b,20,36
E01H11.1d,3,7
E01H11.3,4,14
E02A10.1,1000,728
E02A10.3,8,14
E02C12.13,47,107
E02C12.4,7,7
E02D9.1b,5,8
E02D9.1d,60,40
E02H1.1,409,267
E02H1.3,296,170
E02H1.4,1193,668
E02H1.5,189,100
E02H1.6,147,77
E02H1.7,43,84
E02H1.8,231,150
E02H4.7,18,19
E02H9.4,1,2
E02H9.7,30,11
E02H9.9,4,4
E03A3.6a,5,11
E03D2.1,26,33
E03D2.2a,1,5
E03E2.1,147,245
E03G2.3,93,168
E03H12.5,49,567
E04A4.5,745,464
E04A4.7,1890,2186
E04A4.8,8743,7299
E04D5.1a,2790,1501
E04D5.1b,4,1
E04D5.5,1,12
E04F6.11a,329,195
E04F6.15,21,18
E04F6.3,89,121
E04F6.5a,502,366
E04F6.6,61,140
E04F6.7,3,12
E04F6.8,79,141
E04F6.9,172,434
EEED8.1,1197,537
EEED8.10a,1146,769
EEED8.11,3,1
EEED8.12,10,4
EEED8.13,35,8
EEED8.14,316,154
EEED8.15,47,22
EEED8.16,606,354
EEED8.18,5,3
EEED8.2,7,12
EEED8.3,1189,494
EEED8.4,3,2
EEED8.5,1831,1081
EEED8.7a,249,213
EEED8.8,90,62
EEED8.9,571,374
EGAP1.3,6,20
EGAP2.1,77,42
EGAP2.3,46,39
EGAP7.1,1,1
EGAP9.3,2,1
F01D4.2,78,4
F01D4.4,238,581
F01D4.5b,253,137
F01D5.1,2,2
F01D5.5,4,3
F01D5.8,12,75
F01D5.9,54,120
F01F1.11,1001,558
F01F1.12a,1523,1761
F01F1.15,153,122
F01F1.1b,2,1
F01F1.2,298,200
F01F1.3,49,48
F01F1.4,1170,1076
F01F1.5,1087,767
F01F1.6,1336,1442
F01F1.7,2300,1474
F01F1.8a,5905,3833
F01F1.9,2650,3321
F01G10.1,7854,6775
F01G10.2,53,122
F01G10.3,2,2
F01G10.7,110,252
F01G10.8,137,200
F01G12.2b,133,93
F01G4.1,5987,3330
F01G4.2,1241,1172
F01G4.6a,166,163
F01G4.6b,4,1
F02A9.2,6252,13808
F02A9.3,34014,66008
F02A9.4a,1618,1276
F02A9.4b,763,457
F02C12.2,1,2
F02D10.5,28,36
F02D8.4,24,54
F02D8.5,3,17
F02E8.1,1893,3445
F02E8.3,73,67
F02E9.1,314,205
F02E9.10c,89,44
F02E9.2a,41,17
F02E9.5a,47,56
F02E9.7,565,309
F02E9.9b,50,32
F02H6.3a,339,186
F02H6.5b,6,6
F07A11.2a,9,12
F07A11.2b,92,57
F07A11.3,1415,776
F07A11.6d,16,42
F07A5.1a,18,15
F07A5.1b,37,18
F07A5.2,31,428
F07A5.3,24,67
F07A5.5,4,6
F07A5.7a,2618,5626
F07B10.1,33,32
F07C3.2,2,4
F07C3.7,10,19
F07C4.7,17,35
F07C6.1,10,12
F07C6.3,15,31
F07D10.1,1472,2681
F07D3.2,96,58
F07E5.5,534,383
F07F6.6,2,1
F07F6.7,32,30
F07F6.8,592,430
F07G6.10,57,139
F07G6.7,2,3
F07H5.10,387,253
F07H5.2,15,22
F08A8.4,43,73
F08A8.7,480,326
F08B1.1a,50,12
F08B1.1b,1,3
F08B12.4a,141,306
F08B4.1a,836,460
F08B4.3,11,5
F08B4.6,590,319
F08B4.7,236,143
F08B6.2,141,217
F08B6.4a,8,6
F08B6.4b,68,175
F08C6.1a,12,33
F08C6.4a,8,6
F08C6.4b,17,7
F08C6.6,596,1059
F08C6.7,53,121
F08D12.2,10,28
F08D12.3a,30,113
F08D12.7,36,69
F08F1.5,42,27
F08F1.6,1,1
F08F1.8,110,82
F08F3.3,99,210
F08F3.4,59,178
F08F3.6,512,357
F08F3.7,47,56
F08F8.10a,57,33
F08F8.10b,4,2
F08F8.2,670,433
F08F8.4,572,351
F08F8.7,114,113
F08F8.8,242,135
F08F8.9a,24,8
F08G12.1,100,88
F08G12.10,271,127
F08G12.2,237,155
F08G12.4,19,23
F08G2.4,96,125
F08G2.6,5,39
F08G2.7,52,56
F08G5.1a,53,29
F08G5.3a,12,17
F08G5.4,4,12
F08G5.6,14,3
F08G5.7,4,7
F08H9.2,9,165
F08H9.5,8,29
F08H9.6,64,129
F08H9.7,167,214
F09A5.4b,1,10
F09A5.9,80,117
F09B12.1b,10,12
F09B12.6,2,4
F09B9.1,126,34
F09B9.3,173,127
F09B9.4,93,241
F09B9.5,6,13
F09C12.8,4,124
F09C6.9,4,3
F09C8.1,93,196
F09C8.2,172,178
F09D1.1,1119,654
F09D12.1,10,26
F09E10.1,41,95
F09E10.3,124,169
F09E10.6,1,5
F09E10.7a,2,8
F09E10.8a,23,20
F09E5.1,807,504
F09E5.11,332,200
F09E5.12,2,6
F09E5.13,726,405
F09E5.14,9,25
F09E5.15b,26,21
F09E5.16,9,7
F09E5.17,554,372
F09E5.2,433,251
F09E5.3,373,242
F09E5.5,897,563
F09E5.7,638,405
F09E5.8,294,174
F09E8.2a,25,20
F09E8.2b,35,21
F09E8.3,1365,707
F09E8.7a,2,2
F09F3.6,9,16
F09F7.2a,1324,2806
F09F7.3,2543,1593
F09F7.4a,23,34
F09F7.5a,4,2
F09F7.7a,259,282
F09F7.8,3,2
F09F9.1,1,7
F09F9.2,2,1
F09G2.2,1675,1348
F09G2.4,1479,864
F09G2.9,3086,1801
F09G8.10,1,2
F09G8.2,32,44
F09G8.3,753,399
F09G8.6,22,12
F09G8.8,69,146
F10A3.17,69,48
F10A3.4,34,69
F10B5.1,17256,13849
F10B5.2,883,462
F10B5.4,2,2
F10B5.5,632,323
F10B5.6,1274,647
F10C1.2a,7,5
F10C1.2b,33,46
F10C1.7a,16,33
F10C1.7c,7,9
F10C1.8a,10,16
F10C2.2,1246,740
F10C2.4,2121,1105
F10C5.2,1678,954
F10D11.1,561,432
F10D11.2,1086,535
F10D2.10,5,7
F10D2.2a,15,47
F10D7.2,79,58
F10D7.3,8,6
F10D7.5a,156,108
F10E7.4,172,270
F10E7.5,825,505
F10E7.6,265,161
F10E7.7,6143,5225
F10E7.9,3,8
F10E9.12,36,74
F10E9.3,861,587
F10E9.4,498,300
F10E9.5,440,244
F10E9.6a,4,5
F10E9.7,520,282
F10E9.8,1349,749
F10F2.2,96,256
F10F2.3,2,1
F10G2.2,2,1
F10G2.9,1,1
F10G7.1,1763,1117
F10G7.11,365,920
F10G7.2,8604,4531
F10G7.3,715,433
F10G7.4,1397,848
F10G7.8,2158,1305
F10G7.9a,134,68
F10G8.5,174,230
F10G8.6,454,217
F10G8.7,427,270
F10G8.8b,4,9
F10G8.9a,124,67
F11A1.3a,1,3
F11A10.1b,7,6
F11A10.2,355,236
F11A10.3a,1757,921
F11A10.5,1318,766
F11A10.6a,76,54
F11A10.7,711,530
F11A10.8,1188,593
F11A3.1,83,113
F11A3.2a,72,30
F11A5.10,8,11
F11A5.15,1,2
F11A5.18,13,3
F11A6.1a,331,532
F11A6.2,26,37
F11C1.1,22,16
F11C1.2,35,27
F11C3.2,10,12
F11C7.2,3,14
F11C7.3b,2,4
F11C7.5,1530,3015
F11E6.11,3,8
F11E6.3,1881,4411
F11E6.5,75,69
F11G11.1,24,47
F11G11.10,21,27
F11G11.11,9016,17833
F11G11.12,74,51
F11G11.2,1265,1577
F11G11.3,22,60
F11G11.4,12,71
F11G11.5,1100,1347
F11G11.7,936,508
F11G11.8,6,71
F11H8.3,6690,17958
F12A10.1,17,16
F12A10.5,2,2
F12A10.8,595,308
F12A10.9,3,1
F12E12.1,84,76
F12E12.11,24,29
F12E12.4,1,1
F12F6.1,2378,1411
F12F6.2,65,49
F12F6.3,306,157
F12F6.5c,2433,1487
F12F6.7,514,295
F13A2.4,39,27
F13A7.1,5,105
F13A7.10,10,3
F13A7.11,9,6
F13A7.14,423,269
F13B10.1a,16,20
F13B10.1b,14,24
F13B12.1,2388,1549
F13B12.5,2,4
F13B9.5,86,73
F13B9.8b,299,320
F13C5.2,66,64
F13C5.5,24,52
F13C5.6a,1,3
F13C5.6b,2,8
F13D11.2a,1,1
F13D11.3,31,38
F13D11.4,28,78
F13D12.10,3,13
F13D12.2,246,434
F13D12.3,17,51
F13D12.4a,6490,10996
F13D12.4b,4,10
F13D12.6,1404,3446
F13D12.7a,300,270
F13E6.1,176,210
F13E9.1,712,443
F13E9.5,4,59
F13G11.1b,47,72
F13G11.3,1209,1532
F13G3.1,5,6
F13G3.10,101,44
F13G3.10b,1,4
F13G3.11,206,127
F13G3.12,24,35
F13G3.4,329,222
F13G3.5a,49,35
F13G3.5b,9,10
F13G3.8,2,6
F13G3.9,142,125
F13H10.2a,7,8
F13H10.3b,3,1
F13H10.4a,1,1
F13H10.4c,31,21
F13H10.6,64,137
F13H10.8a,64,63
F13H6.3,270,477
F13H8.10b,59,21
F13H8.11,7,18
F13H8.12,2,15
F13H8.3,53,83
F13H8.4,5,8
F13H8.5,3,6
F13H8.7,1051,2105
F13H8.9,19,30
F14B4.1,32,27
F14B4.2a,189,96
F14B4.2b,1,2
F14B6.1,1,1
F14B6.3,6,4
F14B8.1a,5,9
F14B8.2,13,21
F14B8.6,46,66
F14D12.2,112,137
F14D12.5,13,24
F14D2.1,56,34
F14D2.11,36,22
F14D2.12,297,161
F14D2.13b,20,16
F14D2.14,126,81
F14D2.15,58,38
F14D2.2,15,6
F14D2.4a,125,87
F14D2.8,199,110
F14D7.12,1,3
F14D7.2,766,427
