external_gene_name,L4440_1,L4440_2,L4440_3,Y37A1B_5_1,Y37A1B_5_2,Y37A1B_5_3
cdk-9,1721,1683,1773,1614,2223,1904
cdl-1,14709,15416,15602,13530,17833,14748
cdr-1,25,31,29,22,37,37
cdt-1,4672,5106,5153,4140,5216,4288
cec-1,1907,2004,2054,1441,1865,1917
ced-1,5074,5418,6025,5364,6612,6705
ced-2,2734,2796,2937,2980,4046,3418
ced-3,8434,7907,9229,9188,11554,9315
ced-4,2040,2203,2228,2061,2688,2635
ced-5,5099,5352,5610,5072,6400,5013
ced-6,2703,2480,2984,2920,3671,3289
ced-7,11112,11549,12146,10546,13114,9513
ced-8,394,427,429,332,435,448
ced-9,3434,3437,3982,3598,4981,4832
ced-10,2086,2194,2203,2156,2611,2494
ced-11,1114,1273,1274,590,829,863
ced-12,4780,4897,5067,4902,5767,5292
ced-13,8,5,6,2,7,13
ceh-1,12,4,10,10,14,8
ceh-2,18,12,12,8,14,4
ceh-5,33,48,41,37,37,60
ceh-6,37,23,28,28,43,36
ceh-7,1,1,3,1,1,3
ceh-8,20,15,20,15,18,18
ceh-9,2,2,1,2,5,4
ceh-10,315,387,364,171,271,260
ceh-12,2,2,2,0,2,4
ceh-13,735,782,722,408,612,620
ceh-14,35,40,48,43,39,34
ceh-16,460,524,480,230,364,390
ceh-17,4,3,4,2,3,2
ceh-18,187,220,221,169,273,158
ceh-19,21,45,31,33,35,39
ceh-20,1290,1349,1271,894,1197,1128
ceh-21,1341,1326,1347,1277,1642,1158
ceh-22,21,18,12,14,17,12
ceh-23,4,6,4,2,9,6
ceh-24,14,9,6,5,10,11
pros-1,411,546,530,235,315,268
ceh-27,51,72,60,32,35,34
ceh-28,2,3,0,0,1,2
ceh-30,34,30,37,18,38,26
ceh-31,21,21,23,19,17,14
ceh-32,3533,4162,4071,2069,3063,2681
ceh-33,12,7,3,7,13,8
ceh-34,38,39,31,28,36,35
ceh-36,9,19,14,5,14,12
ceh-37,511,462,447,340,500,448
ceh-38,7278,7250,7660,7303,8582,6206
ceh-39,1461,1432,1436,1316,1832,1377
ceh-40,680,642,615,463,691,509
ceh-41,714,854,833,774,950,999
ceh-43,2272,2540,2377,1304,1915,1849
ceh-44,4973,5189,5299,4505,5820,4152
cpg-1,72808,63892,83248,87729,106636,85593
cel-1,3813,3855,4073,3643,4531,3939
cep-1,3017,3124,3370,3227,4331,4283
ces-1,8,8,10,6,10,6
ces-2,746,851,797,348,461,515
cey-1,14297,14182,13854,12368,16201,14368
cey-2,55610,53430,57989,60205,82477,61409
cey-3,21691,21360,24561,26331,35280,35638
cey-4,23746,24470,23910,24105,31196,25256
cfi-1,119,124,119,69,102,78
cft-1,55,74,58,72,88,71
cfz-2,878,996,952,468,759,662
cgh-1,78230,75936,81345,84533,108602,83166
cgp-1,7459,7651,7729,7355,9689,8604
cha-1,38,42,44,22,56,34
chd-3,5431,5881,5456,2988,4377,2680
che-1,2,0,1,1,1,1
che-2,13,27,20,18,16,15
che-3,154,204,165,99,134,116
che-6,6,10,9,3,8,9
che-7,38,36,28,35,44,34
che-11,42,47,52,19,54,37
che-12,37,56,57,29,44,29
che-13,55,50,40,21,37,42
che-14,133,148,138,94,131,159
chs-1,16464,16090,19659,18393,22630,16941
chs-2,397,431,379,281,381,217
chk-1,3042,3108,3381,3243,4442,4170
chk-2,361,407,371,366,415,415
chn-1,3193,3233,3412,3724,4411,4520
cho-1,49,46,43,36,52,36
chp-1,2210,2499,2445,2455,3102,2827
cht-1,22723,24171,22386,11929,18148,13344
cic-1,1126,1177,1240,1183,1542,1402
cit-1.1,2021,1912,2158,2215,2653,1968
cit-1.2,1966,2249,2410,1989,2576,2584
cka-1,2667,2609,2863,3046,3631,3577
cka-2,61,67,52,58,87,88
ckb-1,142,151,168,137,175,147
ckb-2,552,567,630,572,708,760
ckb-3,5,1,2,4,5,2
ckb-4,340,350,331,337,405,409
ckc-1,241,296,266,311,402,353
cki-1,570,709,700,354,534,546
cki-2,2094,1945,2407,2383,2940,2236
ckk-1,66,75,69,59,78,69
cku-70,3429,3589,3828,3366,4393,3298
cku-80,3455,3612,3870,3621,4410,3657
cky-1,9,17,4,5,7,2
clc-1,773,760,964,867,1297,1248
clc-2,132,134,148,119,152,135
clc-3,58,48,54,36,56,52
clc-4,0,2,2,2,2,7
clc-5,142,174,167,126,155,160
cle-1,1023,973,1176,1070,1399,1270
clh-1,2292,2149,1973,1926,2409,1662
clh-2,59,61,59,52,78,74
clh-3,1317,1245,1434,1451,1596,1400
clh-4,97,83,72,71,89,47
clh-5,4175,4374,4700,4503,5772,5613
clh-6,2517,2867,3076,2970,3613,3548
cpi-2,5575,5740,5844,5540,7582,7030
cpi-1,9828,9363,12465,12290,15013,18341
clk-1,808,881,873,917,1179,1098
clk-2,2734,2745,2935,2721,3500,2562
cln-3.1,53,66,49,74,83,81
cln-3.2,1024,1006,1117,1006,1353,1359
cln-3.3,46,58,28,36,53,53
clp-1,7424,7856,7457,6815,9121,6941
clp-2,2589,2687,2718,2594,3331,2711
clp-3,88,96,101,67,101,104
clp-4,950,1030,1160,843,1057,994
clp-6,77,75,72,82,95,76
clp-7,3583,3731,3926,4117,4975,4573
clr-1,6540,7030,7618,6503,8390,5985
cls-2,3506,3622,3574,2997,4083,2465
clu-1,9805,10587,10585,9842,12387,7774
clx-1,15,6,21,5,13,17
cmd-1,13024,13608,13038,12357,16501,14087
cmk-1,95,134,106,73,117,95
cnb-1,944,1055,957,885,1297,1108
cnc-1,2,2,3,1,3,7
cnc-2,116,122,177,115,173,221
cnc-3,202,163,206,164,234,259
cnc-4,88,82,114,58,111,137
cnc-5,0,1,0,0,0,1
cnc-6,21,14,12,10,7,20
cnd-1,112,141,130,61,85,94
cng-1,168,197,184,143,151,150
cng-3,7,9,5,3,14,5
cnk-1,3831,3815,4147,4017,4988,4077
cnt-1,2208,2131,2383,2177,3029,2304
cnt-2,5013,5413,5534,4046,5512,5081
cnx-1,10206,10596,10812,9777,12477,10581
cof-2,45,60,68,76,71,78
cog-1,22,20,15,27,29,23
cogc-2,3270,3553,3917,3776,4686,4188
coh-1,2206,2328,2399,1825,2280,1642
coh-3,2168,2137,2524,2315,2909,1836
col-2,10,7,10,3,3,5
col-3,1109,1847,1445,623,1282,1418
col-7,8,17,29,6,26,15
col-8,386,590,637,861,1279,1388
col-9,4,4,4,2,4,2
col-10,984,1556,1183,472,904,1094
col-12,214,527,344,164,291,273
col-13,94,238,165,66,144,137
col-14,145,297,179,113,193,204
col-17,406,810,560,252,399,790
col-19,382,656,630,883,1359,882
col-20,144,615,350,361,962,590
col-33,6,25,14,7,17,18
col-34,39,56,47,38,64,75
col-35,1,0,0,0,0,0
col-36,0,3,2,0,2,2
col-37,0,1,0,0,0,0
col-38,86,136,143,110,132,137
col-39,230,417,357,111,282,241
col-40,1,3,3,2,4,5
col-41,225,426,291,121,255,448
col-43,95,79,146,143,203,190
col-44,3,2,2,0,0,3
col-45,6,10,12,5,17,9
col-46,12,8,13,12,19,24
col-47,1,8,3,2,0,8
col-48,73,134,79,62,89,100
col-49,7,27,19,37,17,28
col-50,1,2,2,0,3,1
col-51,1,1,1,0,0,1
col-52,0,2,3,0,2,4
col-53,29,29,30,27,40,39
col-54,47,78,44,15,34,69
col-55,0,1,1,0,1,0
col-56,5,15,6,3,0,7
col-58,23,41,28,13,29,27
col-60,25,71,50,29,64,21
col-61,2,6,8,2,3,3
col-62,13,15,37,10,37,19
col-63,28,7,30,27,22,54
col-64,39,63,45,26,48,43
col-65,123,181,105,70,128,98
col-66,8,7,2,2,2,4
col-68,55,80,81,50,84,106
col-69,4,8,7,5,10,12
H17B01.2,41,37,51,62,103,82
col-71,94,128,131,131,144,173
col-72,1,2,4,2,0,4
col-73,324,637,451,233,297,638
col-74,265,333,170,184,232,90
col-75,1,5,1,2,1,1
col-76,372,424,330,250,374,299
col-77,167,429,196,136,232,160
col-78,1,0,0,0,0,0
col-79,3,10,12,5,4,15
col-80,211,446,385,364,881,600
col-81,58,171,197,97,275,80
col-83,16,12,10,13,19,7
col-84,8,17,12,3,10,9
col-85,4,3,8,2,2,9
col-86,18,23,15,15,29,28
col-87,1,3,1,1,5,2
col-88,15,108,49,45,84,3
col-89,10,19,17,10,19,19
col-90,225,527,353,115,208,495
col-91,44,160,78,31,66,65
