"","logFC","logCPM","LR","PValue"
"WBGene00000117",0.0671940246797425,5.67442571957581,0.0805459395454236,0.776558929386264
"WBGene00000118",-0.274133614785866,5.80167896672848,0.766874241583906,0.381185771039791
"WBGene00000120",-0.368573396518828,3.70896369217574,0.777011042796289,0.378056830758899
"WBGene00000121",-0.0751512811458064,7.90924524543716,0.0977010192992367,0.754606140379093
"WBGene00000122",-0.0322970273435548,7.83285544078642,0.0185589634448,0.891638442604763
"WBGene00000123",0.773817206894171,8.02073291691236,4.4078768445537,0.0357733386715779
"WBGene00000133",-0.47290769561235,1.46262519310718,0.189766008841644,0.663111437686469
"WBGene00000134",-0.340366493279216,-2.80072286534966,0.0443692647592826,0.83316809485449
"WBGene00000135",-0.741009051186898,0.0690443884630625,0.769076748636979,0.380502819130985
"WBGene00000136",-0.545565157817208,5.25314412523959,3.8713905838304,0.0491158113696304
"WBGene00000137",-0.00603255596247754,4.29217196547002,0.000326885195460036,0.985575059606879
"WBGene00000138",-0.125547020025973,3.21183813395944,0.0666753491294239,0.796240439746813
"WBGene00000139",-0.353783903061894,2.62469806212105,0.41015145346789,0.52189264357401
"WBGene00000140",0.36385195318895,4.53315922015216,1.25742725965479,0.262138637598724
"WBGene00000142",-0.0749366599148308,7.2647757784976,0.106426851542061,0.744249372767716
"WBGene00000143",0.108816452892186,6.81865890361439,0.250117984709313,0.616992013050971
"WBGene00000144",-0.196498132935571,5.21309311370255,0.543238552954726,0.461093655500218
"WBGene00000145",-0.367289538660467,5.2845106047895,1.78593025707688,0.181422807915247
"WBGene00000146",0.315408133922308,7.70328662383591,1.60161043459235,0.205675137921289
"WBGene00000147",0.00140681127490053,5.12435038052026,2.76533874101759e-05,0.995804224633892
"WBGene00000148",0.0158584165342217,6.31879596139546,0.00519862803984772,0.942521122917865
"WBGene00000149",0.122270610796617,6.69691351160032,0.255892327335047,0.612956330743268
"WBGene00000150",-0.379184430951386,4.74335390035752,1.42673711022032,0.232297682786726
"WBGene00000151",-0.0696966262956388,6.57751186038803,0.103592785724267,0.747560021211893
"WBGene00000155",0.00926899876112017,7.86307420972252,0.0015042096148663,0.969062488746304
"WBGene00000156",0.362672448251836,7.43291138278216,2.19620388186678,0.138351078562809
"WBGene00000157",-0.280190459856288,3.88303886236756,0.534261105279544,0.464820890910163
"WBGene00000158",0.172262800033106,6.95840601295218,0.601009463208917,0.438193129142391
"WBGene00000159",-0.284454792067008,5.81091635660351,1.38263390994624,0.239653005716275
"WBGene00000160",0.577708176348118,7.04838377249224,3.43097983310636,0.0639841293515085
"WBGene00000161",0.26468199426464,5.60516767965213,1.05925005450034,0.303386292446286
"WBGene00000162",0.615295342461511,6.63921467019485,3.62168614694025,0.057031044349464
"WBGene00000163",0.173034580271928,7.08570318915171,0.585300338443716,0.444242224681416
"WBGene00000164",-0.251236622634898,3.96111511480584,0.449410687839686,0.50261494222076
"WBGene00000165",0.0017523069242935,6.42675618221968,5.90766872994308e-05,0.993867411099843
"WBGene00000166",1.80802139286088,-1.65143022884536,2.3287565275127,0.12700329364189
"WBGene00000168",0.67298910637002,6.91341698915701,5.96059845110862,0.0146290747406649
"WBGene00000169",-0.277559829049156,4.7908269618695,0.460285698962529,0.497490481665085
"WBGene00000170",-0.015595603554376,5.15416468153866,0.00115444257471609,0.972895420505416
"WBGene00000171",-1.32514069844072,-0.865982738369579,1.83054750541703,0.176062890565444
"WBGene00000172",-0.913492377101423,3.96789235184337,5.90903137250123,0.0150634523484148
"WBGene00000173",0,-3.48528471943471,0,1
"WBGene00000174",-0.355700985207168,-1.28384477183123,0.13682498539388,0.711458033423315
"WBGene00000175",0.133753973736551,5.72739244483529,0.0644456055254636,0.799602643831049
"WBGene00000176",-0.280684806511217,3.84167730346157,0.280821602175301,0.596163214609664
"WBGene00000177",-0.773931717512588,1.83812959489821,1.35301041157374,0.24475252132668
"WBGene00000178",-0.208639178073269,5.48328065987456,0.677737818025172,0.410366788371556
"WBGene00000179",-0.557759636503865,5.11483252681972,2.03673286928493,0.153539111708808
"WBGene00000180",-0.336502917400566,3.30032042386274,0.513525474270988,0.473616674935974
"WBGene00000181",-0.250315475966204,7.37557287362134,1.08333735687259,0.297952164399271
"WBGene00000182",-0.0726947001028098,8.62488630843995,0.0836432088102725,0.772419641689867
"WBGene00000183",-0.0488690122887437,8.26942926023771,0.0393405600061811,0.842775499143976
"WBGene00000184",0.27041893094003,5.65483057957575,1.19452126071081,0.274419457886631
"WBGene00000185",-2.34485279386583,-3.48182744002104,0.933738529267502,0.333893351138309
"WBGene00000186",0.563643651463521,6.08981630122319,2.86608198173724,0.090464856729561
"WBGene00000187",-0.270364842833245,5.76911503932365,1.24996264390664,0.263559612213699
