"249_1813_B"	"291_37_C"	"294_1781_A"	"299_1781_A"	"310_37_C"	"318_1813_B"
"abu-2"	0	0	0	0	0	0
"abu-3"	0	0	0	0	0	0
"abu-4"	0.0806195395925495	0.0339449065023734	0.0434207995362565	0	0	0
"abu-5"	0	0	0	0	0	0
"abu-6"	0	0	0	0	0	0
"abu-7"	0	0.0273208814673621	0	0.0644074511545315	0	0.0292954330179818
"abu-8"	0.0792733877255125	0.0445041445794877	0.113855405091977	0	0.0262284940129682	0.0477205754912579
"abu-9"	0	0	0	0	0	0
"abu-10"	0.0336179040000403	0	0	0.0333692420025641	0	0.0303556925921967
"abu-11"	0.26852069746458	0.0282652010153306	0.216933452514212	0.166584079282243	0.0999484873974146	0.0303080010091768
"ace-1"	1.29940103111056	1.80476434176521	1.21790884007304	1.60804953877759	0.770508626253002	1.70663252444091
"ace-2"	1.56748045050188	2.77032253248537	2.04282276079091	2.80443693906151	2.70834146262442	3.2675950852516
"ace-3"	1.08664302230103	0.424850873390287	0.209019289320762	0.462259472318899	0.346687805059697	0.455555957039842
"ace-4"	0.0885561782052875	0	0.0238476930095502	0.109876441930723	0.0878994296766209	0.019990717764084
"acn-1"	5.93716622229338	1.23835036844619	1.0658975299476	1.41874554032388	1.96437837694809	0.310245137380846
"aco-1"	42.0050895416129	61.9019403375476	61.0534321604362	64.4882435090315	70.4787040855599	61.1636573360682
"aco-2"	299.871436099358	204.147418667306	313.073704488433	292.789154107571	291.187611302311	315.887333571764
"acr-2"	0.0436672008012787	0.0919305081566577	0.141112051635458	0.0433442070365447	0.0650150354915221	0.157719306222512
"acr-3"	0	0.130132372124831	0	0	0.0255644815063108	0.162793608796127
"acr-5"	0.261117731013646	0.219887561009819	0.281270290329306	0.471247850947322	0.212057374094848	0.171475934598587
"acr-6"	0.0769418174982915	0.0215975995753396	0.110506716706919	0	0.0254570677184692	0
"acr-7"	0	0.148860050973765	0.163212934427063	0.0751991251511685	0.100263533850992	0.0456053017549433
"acr-8"	0.724209423458495	0.284600233048148	0.260034166714304	0.431311592392464	0.790722411879095	1.0680916265251
"acr-9"	0.0895303425543242	0.0753936110896089	0.0964401204995954	0.0444340561396113	0.111082961809768	0.181895635181843
"acr-10"	0.0763006356858058	0.128505717473271	0.109585827401028	0.151472523518782	0.12622462743741	0.0229655269551679
"acr-11"	0.647399333091685	0.830744032150438	0.896611315099323	0.765012745044355	0.611998193635925	1.11348009479602
"acr-12"	0.84820557784717	0.55356309065409	0.365467374756779	0.568303859951361	0.547244836373801	0.938224406426511
"acr-14"	0	0.0225589974247748	0.230851648945113	0	0.0265902663441816	0.0725681854884302
"acr-15"	0.652557893514726	0.740657123285518	0.45842676801227	0.647731109867834	0.478748387730733	1.10161332486144
"acr-16"	0.773894482696866	0.888678397455111	0.631531936174971	0.721614436961048	0.954374570569569	0.952905509226505
"acr-17"	0.182990817918849	0.215735508563264	0.197113693826261	0.326947117145466	0.326940705242592	0.330467539911623
"acr-18"	0.449215863777904	0.57855387953334	0.683132430551865	0.629496201636497	0.89176879644092	0.93055122207953
"acr-19"	0.199458093286546	0.149301248516663	0.095489725121228	0.153986590299177	0.109988264572017	0.120068730139052
"acr-20"	0.0232093188397888	0.0781783832537009	0.0250005689888277	0.115188230812762	0.115185971806001	0.251485618368378
"acr-21"	0.022394316553486	0.264015939462904	0.0723679992270942	0.222286722144963	0.177825890226288	0.141548530918645
"lgc-11"	0	0	0	0	0	0
"acr-23"	0.126265827376038	0.085062886270723	0.108808622951376	0.125331875251947	0.100263533850992	0.342039763162075
"act-1"	108.385549128606	102.477372562463	102.070084823627	118.382879024426	96.9571019133186	128.712582941506
"act-2"	1210.33056995001	648.015562404501	1156.34900085676	1078.66851492487	1019.19584186906	1015.40383533141
"act-3"	94.8635323163242	87.8292863891128	89.3637957079631	108.861883205681	88.1984457082552	114.730937820239
"act-4"	328.406065693179	399.870998597959	265.633126574746	333.13195749598	253.974597542453	415.046461289435
"act-5"	363.572529042864	446.048699754618	448.069051785954	467.608302812774	606.824896405346	328.952466724086
"acy-1"	1.11827722061519	0.85609328794946	1.02937151220381	1.00909604057242	0.948531675703817	1.41366669851083
"acy-2"	0.0894700843219738	0.086106134352416	0.178982535928691	0.0761213997940634	0.139553162730681	0.323152374505264
"acy-3"	1.85372477154235	3.38221844976649	1.7860191971216	2.51468484453452	2.41241457152972	1.49715973266662
"acy-4"	2.3425346772267	2.15999809339452	3.04490850285491	2.7149072209247	2.45505933867849	2.22157183262488
"add-1"	2.03468361828815	2.33023701018198	3.3138754206071	2.08426192361844	3.08593969158979	2.74851426599449
"add-2"	6.07463374231089	6.7454663841873	6.21074376017394	5.80486509407882	5.43684448281731	6.78672825489588
"adm-2"	10.4086960306508	6.71257124266792	9.62246691665644	9.86089397634453	7.57207644779013	8.13757210444727
"adm-4"	9.6777900305757	8.13430208211148	10.4640415702931	9.2618327628493	9.27977568688566	9.29927183784644
"adr-1"	34.8624540869872	22.5702769234872	35.1994658786076	30.4717964074205	31.5796805399203	25.3085326483894
"adr-2"	53.5552228509587	48.3005815162941	56.0883124616601	50.1599878117942	48.8094344852373	48.7675739161125
"ads-1"	57.3495362463939	117.026237546806	85.0087891282196	91.1346269026501	98.7047076020653	62.3832547934577
"adt-1"	0.329227232696771	0.179833074015073	0.162941026164794	0.220805427869945	0.158976790241869	0.160691733797093
"adt-2"	4.64908731607845	3.76932762386173	4.7167381682477	6.20301447527321	6.00972315248557	8.99142220323688
"aex-1"	4.0959927373634	5.25598552294814	4.31406653457	3.75592855030748	4.65932513988071	2.54787355653561
"aex-2"	0.17511621304939	0.619355425199043	0.188631342247672	0.451934414433088	0.0695270078999502	0.284621940624704
"aex-3"	1.58614179202513	1.76102401713682	1.74673718250581	1.67116098116948	2.01414926037828	1.64825996861147
"aex-5"	5.68601173729857	13.5632203809762	8.07249719663477	8.76111678348056	11.7599746435673	6.80986694612706
"aex-6"	3.4680663545848	5.84092584727624	3.40046760988415	3.79548217100133	4.85459129041275	4.09508085227635
"age-1"	36.6166328681826	20.2159069871224	36.8393502430485	33.1685987397538	28.9992990215177	29.3487657293735
"ags-3"	12.4294269982448	8.82120005399543	9.63379980811018	9.69873512765503	9.15682439437168	9.25206989521423
"agt-1"	29.8865003604293	38.1444293614649	32.6960993229298	29.7233787954069	31.4030319014775	31.2029979351527
"agt-2"	31.216881219405	19.3203357458411	30.3108862918017	25.9869605363374	30.7473273944822	23.7844660454682
"aha-1"	11.8660316120092	11.2918598068667	10.0019243962906	8.68844885837498	9.50693084360464	9.72960432147959
"ahr-1"	0.464186376795776	0.312713533014803	0.125002844944139	0.115188230812762	0.230371943612002	0.125742809184189
"aip-1"	37.7252245940396	40.9762140475676	36.290604031672	36.9655892145364	38.4466627254115	36.4325640081983
"air-1"	167.244979580079	147.446067556031	158.45138945197	162.605380912379	150.365242883863	166.980875792255
"air-2"	79.8536180076604	70.8718775831177	73.9044473819602	72.7932898037809	76.386055004014	78.7817959113623
"ajm-1"	12.637964445987	8.10852977859512	9.19710632430813	10.400402143015	9.3068440089414	9.56789137089952
"aka-1"	92.3949972460315	60.186041242728	98.3211049624181	80.9046432081556	77.2091222150295	84.9127617071494
"akt-1"	95.9760849110677	73.903749218922	93.9090537059648	88.613608859691	80.440372371755	89.712481551208
"akt-2"	3.71472897467392	3.6419848026444	3.24753296153572	3.33099593928746	2.40468252858501	3.80797565808496
"alg-1"	15.0630057188327	5.0364168415839	10.0960956042291	9.18466867263258	9.64244088565656	9.47386537284334
"alg-2"	32.2602979150988	11.1090734996019	28.5741551775177	26.3950299027872	24.9524706129821	18.787390648643
"alh-1"	140.924961971208	148.015221853304	157.006603621837	153.538057930402	155.325141544798	160.027967373965
"alh-2"	0.026037998771512	0.0219266306474807	0	0	0	0.0470226511696308
"alh-3"	37.2828776550782	39.0596358850669	39.7263929611884	38.206616965771	39.1536101331549	35.6992060071255
"alh-4"	74.2301931287076	60.09053822164	65.1563818419014	64.7924384872344	60.5425666462356	58.6190030379747
"alh-5"	1.78547885235949	5.31428543441336	2.4538382677406	5.16403444734061	2.50557704261924	6.05972232857398
"alh-6"	29.8272311480139	23.6368969670716	34.7306119523219	33.9172288160748	33.4329424700851	48.3184667472022
"alh-7"	17.3999360757275	21.0692263003954	21.4276821178144	20.7820302267769	20.4517556349253	23.899458384678
"alh-8"	254.7503109336	386.599444425581	378.205841206582	382.818867687335	438.12878571953	330.398636075177
"alh-9"	53.7298789642327	42.8751868719233	55.8704428700934	52.0211768557156	51.0958315482467	95.5459040552237
"alh-10"	6.94917035048959	6.43927077641154	6.70633461277635	7.38497236792902	6.25658999747798	7.9076946260624
"alh-11"	23.15015762534	20.6329198068697	24.2505067306062	23.3813890799892	23.8408832692265	22.4902349829371
"alh-12"	20.8322384126063	36.0024356353604	31.1548636579947	27.0878831288597	32.8338979924507	44.7480699624888
