"","logFC","logCPM","LR","PValue"
"WBGene00015263",0.257983923915611,0.727846140200982,0.110519821657156,0.739553100659449
"WBGene00015264",0.149548893207446,-0.816681289263728,0.0245606805858078,0.875466725607357
"WBGene00015265",-0.302083821378532,-2.66548413885595,0.0473621423970667,0.827718615582407
"WBGene00015266",0.298626648866739,5.2863048736158,1.00269943562,0.316658203896697
"WBGene00015267",0.0604030055216969,6.44418526303411,0.0708913640523292,0.790043349339685
"WBGene00015268",0.8232080335084,1.51114922443132,1.29098765090137,0.255866018944351
"WBGene00015269",0,-3.59875592096187,0,1
"WBGene00015270",0,-3.59875592096187,0,1
"WBGene00015271",0,-3.59875592096187,0,1
"WBGene00015272",0,-3.59875592096187,0,1
"WBGene00015273",0.0446875283151372,1.24402039345741,0.00387089626281933,0.95039040114648
"WBGene00015277",0,-3.59875592096187,0,1
"WBGene00015278",-0.0376087066060477,3.46773818757231,0.00769365590623927,0.930104399392419
"WBGene00015279",-0.954193815297274,2.29720227162216,2.5519102925746,0.11016098729756
"WBGene00015280",-0.333825186024968,7.23843517675088,1.02969844184605,0.310229505525884
"WBGene00015281",-0.00859861771024167,-2.72834856905518,3.61645764849206e-05,0.995201791280914
"WBGene00015282",0.0846819782453482,6.83677713200026,0.138755406063609,0.709521455257897
"WBGene00015283",-0.0493060649820254,6.53633481461031,0.0543700535144076,0.815626395599701
"WBGene00015284",-0.591958206599939,2.34945841614956,1.02267359599165,0.311885663079621
"WBGene00015285",-0.123881736518836,3.71948572131104,0.090406347611137,0.763661203040371
"WBGene00015286",1.34523841141947,1.21003364322524,3.18862213533354,0.074152488405676
"WBGene00015287",1.06578389361032,-1.33395398835157,0.912850884928808,0.339359124934703
"WBGene00015288",-0.0646665295875114,-2.78611360559873,0.00153139506095812,0.968784316567122
"WBGene00015291",-0.439168637516362,4.79627640707,2.26447017892214,0.132371475764722
"WBGene00015292",2.32676338069536,-3.48256640831324,0.986098781029665,0.320697739403973
"WBGene00015293",0.0649160157584138,1.30644847115861,0.00749745029980708,0.930999149018854
"WBGene00015294",-0.642776215003011,1.47352483965324,0.871413996237957,0.350564151965015
"WBGene00015295",-0.353295885199639,3.55209327888,0.578942847578974,0.446726989492702
"WBGene00015296",-0.033913075485259,6.97078018191383,0.0244481358301556,0.875750055531616
"WBGene00015297",-0.018924066276466,5.68699977294832,0.00656513062464015,0.935421678139851
"WBGene00015298",0.421037266813023,3.16388561866012,0.682313927423243,0.408791068573287
"WBGene00015299",-0.274388936758995,-0.247964047451837,0.107719931984988,0.742755043626687
"WBGene00015300",-0.318950379671382,-1.68081089077807,0.0755649870572968,0.783400086409182
"WBGene00015301",0.369008564851924,6.53414475913074,2.2979581690785,0.129544193293834
"WBGene00015303",1.10525873714087,-0.643687989487468,1.45218678443763,0.228177388348335
"WBGene00015305",2.81840055086439,-1.5158312546467,3.6588489003906,0.0557721527221186
"WBGene00015306",2.44028077808878,-0.795888024468173,3.63456205771801,0.0565914914459237
"WBGene00015307",-0.0628805833139724,4.88739500807748,0.0480165970157103,0.826551199059806
"WBGene00015308",-0.0577559012397194,7.01164563148606,0.0674955705549678,0.79501874790153
"WBGene00015309",2.6599982026089,-2.7993838040943,2.13603206049553,0.143873602490551
