wormbase_gene,S01,S02,S03,S04,S05,S06,S07,S08
WBGene00000177,39,30,19,41,26,21,75,51
WBGene00000178,391,511,242,517,231,387,715,577
WBGene00000179,443,711,572,676,481,635,738,720
WBGene00000180,145,226,160,224,155,201,269,206
WBGene00000181,2112,3472,2456,3520,2177,2866,3113,3052
WBGene00000182,3434,5615,5023,5817,4127,4860,6304,4747
WBGene00000183,4497,7510,6166,7779,4902,6132,7267,6276
WBGene00000184,593,975,910,979,684,846,858,828
WBGene00000185,0,1,0,1,0,0,0,1
WBGene00000186,601,930,850,1079,704,780,903,878
WBGene00000187,474,781,534,780,468,605,734,664
WBGene00000188,6,23,12,23,18,12,18,9
WBGene00000189,151,245,175,288,160,180,318,249
WBGene00000190,6,7,5,6,8,5,5,5
WBGene00000191,4,5,6,6,5,11,8,8
WBGene00000192,1785,2781,2162,3114,1802,2318,2832,2439
WBGene00000193,1,4,3,1,2,2,2,2
WBGene00000195,175,327,296,327,230,307,303,247
WBGene00000196,454,708,543,790,449,600,717,643
WBGene00000197,5017,8694,7115,8386,5744,6897,6943,6931
WBGene00000198,3130,5338,3864,5431,3324,4306,4652,4699
WBGene00000199,1351,2290,1790,2288,1406,1832,1908,1932
WBGene00000200,1454,2204,1544,2255,1328,1664,1943,1892
WBGene00000201,985,1798,1287,1715,1081,1387,1445,1304
WBGene00000202,633,1077,756,1094,665,885,992,887
WBGene00000203,780,1235,1104,1332,923,986,1110,1101
WBGene00000204,855,1539,1217,1445,941,1263,1283,1132
WBGene00000205,407,697,531,671,422,544,584,559
WBGene00000206,4421,7341,5595,7634,4597,5945,6029,5979
WBGene00000207,2224,4213,3718,3998,3193,3575,4012,3463
WBGene00000208,545,1002,890,1025,708,874,906,869
WBGene00000209,2340,3826,3132,4031,2652,3151,3166,3477
WBGene00000210,1181,2191,1779,2162,1540,1846,2036,1902
WBGene00000211,97,126,66,125,76,100,183,154
WBGene00000212,99,144,112,147,83,127,147,144
WBGene00000213,3,8,2,8,6,5,7,8
WBGene00000214,14313,26753,25915,27432,19250,22076,23334,24214
WBGene00000215,5413,9579,6610,9585,5391,7284,8126,7674
WBGene00000216,9889,19161,17572,19855,14198,14888,16612,15597
WBGene00000217,4101,6656,4539,6797,3635,4892,5373,5183
WBGene00000218,4244,7956,6617,7727,5059,6087,6499,6055
WBGene00000219,10596,19622,17607,20850,13154,15435,16297,16514
WBGene00000220,7,19,15,14,6,14,16,14
WBGene00000221,960,1616,1146,1705,939,1240,1697,1359
WBGene00000222,142,272,207,271,218,259,307,265
WBGene00000223,3145,5012,3732,5212,3113,4073,4644,4321
WBGene00000224,308,553,430,626,440,467,458,443
WBGene00000225,257,469,341,410,333,352,418,366
WBGene00000226,1328,1665,1012,1702,841,1312,2162,1685
WBGene00000227,956,1393,1021,1601,901,1178,1335,1370
WBGene00000228,1814,3061,2194,3143,2074,2679,3048,2783
WBGene00000229,31297,57109,49878,56640,39399,45994,46690,45267
WBGene00000230,6126,11018,9675,10989,7636,8829,9934,9223
WBGene00000231,3749,6500,5939,6561,4520,5296,5401,5194
WBGene00000232,26,30,38,35,41,41,45,37
WBGene00000233,110,208,117,236,128,160,223,212
WBGene00000235,1008,1548,1391,1584,1100,1263,1748,1419
WBGene00000236,905,1315,959,1480,824,1119,1310,1147
WBGene00000237,138,182,133,208,129,146,209,182
WBGene00000238,125,192,115,186,125,150,208,168
WBGene00000239,239,397,281,366,234,290,369,365
WBGene00000240,937,1495,907,1496,815,1133,1577,1430
WBGene00000241,4,8,5,11,3,6,8,5
WBGene00000242,2,4,0,1,0,1,6,2
WBGene00000244,7,7,8,10,1,4,10,12
WBGene00000245,281,544,330,491,283,408,458,465
WBGene00000246,30,52,29,64,24,37,43,37
WBGene00000247,443,730,450,759,424,521,733,608
WBGene00000248,427,767,608,641,493,578,636,560
WBGene00000249,603,928,717,918,579,682,1006,877
WBGene00000250,403,639,469,726,443,594,682,564
WBGene00000251,5,30,36,54,7,4,37,18
WBGene00000252,4,20,18,12,4,11,34,6
WBGene00000253,272,421,283,404,287,387,487,404
WBGene00000254,2860,4623,3288,4694,2883,3964,4370,4112
WBGene00000255,3,9,2,6,7,8,6,6
WBGene00000256,67,186,146,142,149,143,160,124
WBGene00000257,1731,2879,2020,2953,1738,2399,2478,2290
WBGene00000259,613,918,602,988,543,736,1024,869
WBGene00000262,76,137,111,141,85,105,121,101
WBGene00000263,1691,2872,2636,2871,2067,2362,2535,2649
WBGene00000264,627,972,688,1034,562,653,1047,866
WBGene00000265,862,1213,744,1242,724,983,1258,1073
WBGene00000266,176,244,174,248,152,207,293,259
WBGene00000267,19,18,22,29,26,30,42,49
WBGene00000268,1170,1827,973,1873,929,1393,1816,1594
WBGene00000269,240,411,290,393,250,326,360,322
WBGene00000270,388,484,304,496,289,368,596,507
WBGene00000271,1155,1745,1332,1764,1124,1436,1739,1587
WBGene00000272,1,0,0,1,0,1,0,0
WBGene00000273,3592,6631,5722,7021,4612,5331,5630,5111
WBGene00000274,1242,2235,1825,2203,1510,1870,1866,1824
WBGene00000275,3057,4868,3443,5027,2982,3899,4387,3967
WBGene00000276,1530,2461,1521,2528,1386,1826,2464,2268
WBGene00000277,658,1261,1072,1109,813,923,1011,970
WBGene00000279,33,45,17,34,13,28,36,40
WBGene00000280,4,7,7,9,6,8,14,13
WBGene00000281,413,688,602,724,510,567,645,548
WBGene00000282,1491,2600,2192,2767,1915,2151,2359,2332
WBGene00000283,328,541,407,577,335,413,479,429
WBGene00000284,12,20,23,28,24,25,19,32
WBGene00000285,50,64,40,62,46,62,94,53
WBGene00000286,30,76,62,101,50,66,79,73
WBGene00000287,16,31,20,37,28,30,37,27
WBGene00000288,25,51,32,41,29,20,46,30
WBGene00000289,1057,1698,1049,1590,1021,1298,1545,1409
WBGene00000292,1578,2359,1439,2282,1311,1778,2436,2070
WBGene00000293,1922,3243,2987,3383,2279,2724,2791,2579
WBGene00000294,845,1577,1280,1621,1116,1325,1342,1361
WBGene00000295,9,18,20,23,17,19,15,13
WBGene00000296,9,14,15,7,11,12,16,17
WBGene00000298,518,799,526,777,451,606,799,681
WBGene00000301,722,1082,737,984,814,1033,1321,964
WBGene00000302,31,25,11,15,8,12,31,17
WBGene00000366,3037,4987,3931,5178,3227,4051,4614,4392
WBGene00000367,138,220,178,217,156,155,217,209
WBGene00000368,98,152,131,152,102,129,157,138
WBGene00000369,1226,2082,1902,2243,1471,1749,1826,1844
WBGene00000370,816,1442,1155,1482,945,1152,1231,1079
WBGene00000371,4321,7477,6827,7635,5436,6092,6617,6364
WBGene00000372,1,3,0,4,0,0,3,2
WBGene00000373,101,175,101,136,80,105,188,146
WBGene00000374,122,184,120,172,119,138,224,169
WBGene00000375,595,848,501,854,470,618,826,767
WBGene00000376,5333,8593,6541,8420,5158,6543,8103,7371
WBGene00000377,7085,11664,8350,11804,7336,9320,9939,9206
WBGene00000378,6366,10435,8405,10743,6991,8760,9171,8788
WBGene00000379,6451,9745,6243,9606,5412,7359,9323,8483
WBGene00000380,9381,15577,10945,15759,9441,12335,13622,13111
WBGene00000381,6383,10569,8587,10705,6876,8107,9082,8477
WBGene00000382,1417,2274,1553,2264,1272,1758,2135,1879
WBGene00000383,2181,3681,2570,3606,2203,2752,3528,3047
WBGene00000386,3103,4721,3194,4962,2723,3628,4590,4265
WBGene00000387,653,1083,885,1076,756,862,1067,855
WBGene00000388,445,683,508,710,466,579,729,610
WBGene00000389,0,3,0,1,2,4,0,2
WBGene00000390,2108,3398,2930,3610,2388,2848,3136,2822
WBGene00000391,83,132,113,141,88,130,122,83
WBGene00000392,481,790,509,765,447,586,725,743
WBGene00000393,359,545,361,523,308,396,533,483
WBGene00000395,119,137,85,158,90,106,171,162
WBGene00000396,630,723,562,767,514,740,1010,799
WBGene00000397,21,45,21,33,24,23,31,33
WBGene00000399,2,9,1,2,0,2,4,4
WBGene00000401,16,23,7,25,18,12,19,18
WBGene00000402,8,20,10,18,8,13,12,23
WBGene00000403,362,806,641,894,697,801,663,572
WBGene00000405,2879,4512,3285,4715,2791,3501,4472,4007
WBGene00000406,123,192,170,209,130,145,246,175
WBGene00000407,696,1096,764,1130,607,860,1025,948
WBGene00000408,907,1253,893,1350,735,951,1552,1173
WBGene00000409,940,1394,1188,1483,924,1044,1482,1258
WBGene00000410,435,684,552,703,481,543,633,633
WBGene00000411,2604,4567,3880,4303,3134,3833,3610,3258
WBGene00000412,3,4,5,9,6,3,9,3
WBGene00000413,927,1508,1239,1587,1018,1301,1452,1277
WBGene00000414,307,514,458,551,454,470,542,439
WBGene00000415,1304,2197,1942,2224,1607,1843,2001,1756
WBGene00000416,967,1544,1498,1524,1084,1222,1328,1243
WBGene00000417,2605,4245,3295,4446,2597,3276,3452,3312
WBGene00000418,617,874,430,867,434,643,949,823
WBGene00000419,1551,2070,1270,2111,1178,1510,2506,2017
WBGene00000420,889,1593,1305,1664,1062,1245,1242,1216
WBGene00000421,2125,2849,1872,3041,1681,2223,3504,2949
WBGene00000422,55,86,46,67,41,62,113,71
WBGene00000423,1074,1718,1437,1681,1115,1456,1570,1285
WBGene00000424,582,1022,955,1160,694,1036,973,833
WBGene00000425,35,52,24,37,26,54,91,69
WBGene00000426,913,1308,997,1447,873,1103,1496,1217
WBGene00000427,0,0,0,0,0,0,0,0
WBGene00000428,6,8,4,2,0,3,4,3
WBGene00000429,1,11,3,6,4,1,3,2
WBGene00000430,6,6,2,8,4,6,5,7
WBGene00000431,10,11,11,14,10,13,16,16
WBGene00000432,0,0,0,0,0,0,1,0
WBGene00000433,0,1,1,1,2,0,1,0
WBGene00000434,5,4,1,3,1,5,5,3
WBGene00000435,3,7,2,8,5,3,6,8
WBGene00000436,0,0,0,2,0,1,1,1
WBGene00000437,59,72,56,68,64,65,102,90
WBGene00000438,11,35,33,36,23,26,24,41
WBGene00000439,6,4,2,8,5,6,6,5
WBGene00000440,0,2,1,0,0,1,0,1
WBGene00000441,101,171,141,166,110,144,219,181
WBGene00000442,11,11,4,16,4,9,16,16
WBGene00000443,150,199,142,227,111,168,216,176
WBGene00000444,188,325,278,361,256,304,327,261
WBGene00000445,1,6,10,4,4,5,9,11
WBGene00000446,8,12,12,12,7,5,20,14
WBGene00000447,4,3,2,2,1,1,5,3
WBGene00000448,15,30,28,39,28,30,38,23
WBGene00000449,15,27,12,48,19,42,52,29
WBGene00000450,0,1,0,0,0,0,0,0
WBGene00000451,3,3,8,15,9,3,16,7
WBGene00000452,1,7,3,5,3,2,6,1
WBGene00000453,76,92,58,96,63,98,119,112
WBGene00000454,4,4,3,3,4,7,5,5
WBGene00000455,16,38,19,29,22,30,36,32
WBGene00000457,10,21,14,14,11,30,28,23
WBGene00000458,57,73,71,82,67,92,91,74
WBGene00000459,2069,3447,2232,3430,1992,2659,3131,2973
WBGene00000460,355,535,461,584,422,468,510,465
WBGene00000461,94,153,99,135,87,115,167,120
WBGene00000462,82,167,107,161,79,148,133,115
WBGene00000463,69,84,68,91,87,103,95,84
WBGene00000464,1506,2294,1793,2427,1393,1935,2186,2015
WBGene00000465,23244,40697,35016,46363,29970,36089,38797,36745
WBGene00000466,994,1549,1092,1612,908,1208,1614,1300
WBGene00000467,800,1109,732,1227,680,1018,1248,1021
WBGene00000468,1,0,0,1,1,3,0,1
WBGene00000469,7,19,10,13,16,17,16,22
WBGene00000472,4475,7828,7253,7965,5888,6632,7774,6357
WBGene00000473,27819,49134,41989,49307,32181,37173,39875,37193
WBGene00000474,10964,18033,15086,18042,11706,14234,15240,14531
WBGene00000475,7660,13741,12903,13987,9721,10968,11938,10562
WBGene00000476,16,38,29,41,22,35,39,37
WBGene00000477,20,35,11,31,15,17,53,30
WBGene00000478,34,54,30,48,35,32,40,56
WBGene00000479,35467,61107,50169,63881,38434,46993,56222,51980
WBGene00000480,1558,2442,2354,2660,1964,2408,2318,2040
WBGene00000481,24,38,31,31,30,36,24,24
WBGene00000482,854,1391,1096,1375,951,1235,1384,1228
WBGene00000483,0,0,0,0,0,0,0,1
WBGene00000484,5,5,3,1,3,1,6,6
WBGene00000485,20,22,11,19,13,13,32,18
WBGene00000487,0,1,2,2,2,2,2,0
WBGene00000488,4,9,14,9,6,7,10,5
WBGene00000490,4,3,3,5,5,2,8,5
WBGene00000491,8,5,4,6,12,11,13,16
WBGene00000492,8,10,11,13,1,9,7,10
WBGene00000493,4,8,12,15,12,10,21,15
WBGene00000496,6612,9555,5782,9712,5233,7304,9715,8806
WBGene00000497,89,138,114,155,90,87,126,124
WBGene00000498,1098,1760,1433,1776,1180,1448,1475,1505
WBGene00000499,186,302,218,273,155,224,282,219
WBGene00000500,907,1429,946,1419,835,1121,1255,1216
WBGene00000501,10,30,27,33,33,36,27,30
WBGene00000502,905,1583,976,1549,891,1208,1448,1306
WBGene00000503,412,679,452,629,578,816,861,615
WBGene00000506,277,381,292,401,278,320,484,374
WBGene00000507,539,798,585,827,540,644,789,682
WBGene00000508,616,975,654,1060,604,769,910,825
WBGene00000509,702,1086,632,1072,575,761,1168,955
WBGene00000510,39,57,57,92,43,64,85,67
WBGene00000511,25,34,28,34,15,31,48,46
WBGene00000512,197,269,140,240,336,475,664,620
WBGene00000513,0,0,0,0,1,1,2,2
WBGene00000514,106,172,129,165,125,130,196,154
WBGene00000515,216,333,213,382,165,315,423,326
WBGene00000516,21,49,29,52,35,35,49,29
WBGene00000517,738,1128,860,1149,692,806,954,1001
WBGene00000518,27,50,30,45,32,42,38,39
WBGene00000519,910,1348,1082,1411,854,1135,1314,1218
WBGene00000520,942,1360,875,1373,840,1035,1382,1297
WBGene00000521,0,0,2,0,0,1,1,0
WBGene00000522,113,140,79,132,78,78,195,148
WBGene00000523,20,18,12,24,16,8,29,25
WBGene00000524,39,62,39,49,32,46,59,50
WBGene00000525,5,4,1,1,4,9,6,1
WBGene00000526,16,35,15,36,29,24,41,37
WBGene00000527,490,945,665,874,604,791,894,873
WBGene00000528,646,1145,926,1149,915,1020,1180,1108
WBGene00000529,19,67,40,42,33,34,42,31
WBGene00000530,360,553,348,558,295,453,546,513
WBGene00000531,15,31,19,36,25,30,32,39
WBGene00000532,1396,1976,1224,1970,1116,1447,2269,1919
WBGene00000533,695,1083,691,1071,640,915,1021,933
WBGene00000534,1280,2094,1705,2288,1451,1695,2255,1886
WBGene00000535,597,980,658,1035,646,758,1036,882
WBGene00000536,354,558,305,499,287,395,522,453
WBGene00000537,749,982,559,1066,521,756,1047,987
WBGene00000539,79,115,94,139,73,90,137,115
WBGene00000540,171,243,161,249,146,221,294,229
WBGene00000541,14,20,13,17,20,32,43,22
WBGene00000542,2438,3900,3083,4135,2599,3177,4377,3744
WBGene00000543,566,765,441,692,398,506,999,690
WBGene00000544,5,13,12,4,13,17,15,12
WBGene00000545,283,505,395,557,332,446,462,423
WBGene00000546,9,16,18,21,18,24,37,31
WBGene00000547,1362,2213,1879,2415,1519,1920,1930,2088
WBGene00000548,1384,2035,1365,2080,1231,1630,2162,2027
WBGene00000549,1014,1722,1436,1779,1137,1385,1567,1483
WBGene00000550,4763,7559,4884,7636,4017,5612,6956,6502
WBGene00000551,0,0,0,0,0,0,0,0
WBGene00000552,3712,6571,6007,6485,4729,5559,5418,5205
WBGene00000553,28,48,50,41,43,53,50,50
WBGene00000554,236,407,316,436,271,355,393,354
WBGene00000555,0,0,0,0,0,0,0,0
WBGene00000556,29,52,17,52,35,41,47,29
WBGene00000557,43,60,48,67,37,71,73,70
WBGene00000558,107,132,90,187,101,132,119,125
WBGene00000559,0,0,0,0,0,1,0,0
WBGene00000560,0,1,0,1,2,0,0,0
WBGene00000561,7,3,3,4,1,7,18,10
WBGene00000562,13,19,15,24,15,16,24,16
WBGene00000563,0,1,0,1,0,0,2,1
WBGene00000564,1029,1627,1242,1695,1021,1252,1598,1531
WBGene00000565,784,1308,1023,1395,892,1060,1123,1029
WBGene00000566,1163,1726,1328,1805,1144,1641,1546,1541
WBGene00000567,3031,4701,4110,4921,3297,4038,4740,3987
WBGene00000583,15,13,22,23,26,18,24,27
WBGene00000584,17,11,15,10,15,15,13,19
WBGene00000585,1037,1407,952,1432,824,977,1630,1327
WBGene00000591,253,516,377,525,340,385,471,433
WBGene00000592,577,982,710,962,566,739,829,756
WBGene00000593,9,12,18,15,21,17,10,9
WBGene00000594,21,191,117,114,97,224,1,101
WBGene00000596,19,35,21,44,21,22,34,53
WBGene00000597,17019,31624,28434,30739,24287,27947,30001,27801
WBGene00000598,1,0,1,0,0,0,0,0
WBGene00000599,78,208,187,213,156,238,174,172
WBGene00000601,8,163,50,101,105,69,172,170
WBGene00000602,65,112,91,104,101,172,118,102
WBGene00000603,10,82,40,31,64,74,96,29
WBGene00000606,10,74,45,62,47,50,75,26
WBGene00000608,18234,36473,34861,32955,30568,32854,32619,30953
WBGene00000609,22666,46949,40347,38750,36435,40621,40578,38270
WBGene00000610,0,1,1,3,2,3,2,0
WBGene00000611,58,122,113,128,117,122,123,116
WBGene00000612,1,1,0,0,0,3,0,0
WBGene00000613,0,3,1,2,1,2,0,0
WBGene00000614,17,14,20,22,11,16,28,12
WBGene00000615,13,90,64,60,63,98,103,35
WBGene00000616,23,80,49,64,73,99,97,123
WBGene00000617,6,11,15,2,12,10,6,12
WBGene00000618,2,3,5,9,1,2,3,1
WBGene00000620,31,72,87,90,38,50,37,49
WBGene00000621,17,34,32,32,17,21,28,26
WBGene00000622,4,13,9,3,7,6,4,5
WBGene00000623,3,2,4,1,0,0,2,1
WBGene00000624,0,0,0,0,1,0,0,0
WBGene00000625,11,60,39,45,31,38,40,25
WBGene00000626,0,46,19,15,46,53,50,17
WBGene00000627,1,5,6,1,7,6,7,9
WBGene00000628,3,7,5,6,6,7,1,6
WBGene00000629,2,0,1,1,0,0,0,2
WBGene00000630,14,21,18,29,22,23,27,17
WBGene00000631,2,1,1,2,4,0,2,0
WBGene00000632,0,0,0,0,1,0,2,0
WBGene00000633,0,0,0,0,0,0,0,0
WBGene00000634,3,9,1,3,6,8,4,4
WBGene00000636,5,37,4,17,26,24,35,12
WBGene00000637,0,2,2,1,3,0,2,2
WBGene00000638,32,74,71,76,45,60,65,65
WBGene00000639,2,39,19,18,84,64,98,22
WBGene00000640,6,11,8,6,4,3,7,11
WBGene00000641,2,19,6,7,16,24,15,6
WBGene00000642,1,0,1,1,1,1,0,0
WBGene00000644,8,34,20,25,16,19,25,13
WBGene00000645,1,1,1,1,2,1,1,1
WBGene00000646,0,0,2,3,5,3,2,4
WBGene00000647,20,120,79,72,131,127,114,47
WBGene00000648,0,0,1,1,0,0,0,0
WBGene00000649,1,141,72,45,88,114,109,33
WBGene00000650,4,5,12,7,9,15,6,3
WBGene00000651,0,0,0,0,1,0,0,0
WBGene00000652,91,146,141,130,99,136,128,108
WBGene00000653,8,117,30,40,79,96,92,36
WBGene00000654,0,0,0,0,0,0,0,0
WBGene00000655,1,4,10,7,2,3,4,2
WBGene00000656,10605,21488,19889,20187,18301,20585,20520,20026
WBGene00000657,736,1929,1586,1269,2187,2173,2401,2325
WBGene00000658,4,1,1,0,3,3,1,2
WBGene00000659,5,6,1,6,4,9,3,6
WBGene00000660,25,64,58,67,44,52,51,53
WBGene00000661,8,1,1,5,6,1,1,1
WBGene00000662,1,2,2,0,0,1,1,1
WBGene00000663,2,69,1,21,19,31,19,6
WBGene00000664,7,12,14,22,16,9,22,12
WBGene00000665,4,13,9,11,16,15,21,9
WBGene00000666,0,30,4,8,13,12,6,9
WBGene00000667,321,884,740,727,961,1092,1262,1010
WBGene00000668,16403,32787,28748,29328,27349,30955,30059,29296
WBGene00000669,2335,5143,4231,4439,4726,5033,5224,5008
WBGene00000670,2368,4035,3757,4471,2783,3508,3030,2932
WBGene00000671,149,327,261,250,269,261,276,288
