wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00000184,902,910,848,1071
WBGene00000185,0,0,2,2
WBGene00000186,2966,2768,2649,3119
WBGene00000187,1436,1248,1130,1280
WBGene00021349,144,120,90,140
WBGene00000188,66,42,68,71
WBGene00000189,625,580,533,648
WBGene00000193,51,52,34,47
WBGene00000192,3781,3547,3748,4110
WBGene00000195,1036,1044,1011,1087
WBGene00000198,4827,4662,4993,5643
WBGene00000199,4226,3994,3849,4242
WBGene00000200,4208,3916,3562,4115
WBGene00000201,2865,2734,2893,3054
WBGene00021170,2526,2383,2183,2559
WBGene00000203,1074,1118,1118,1238
WBGene00000204,1628,1616,1552,1608
WBGene00000205,704,721,738,813
WBGene00010769,2949,2926,2944,3363
WBGene00000206,5722,5403,5772,6198
WBGene00000207,7173,6622,7019,6960
WBGene00011279,4845,4726,4797,5273
WBGene00006423,3920,3298,3105,3515
WBGene00007277,1823,1796,1650,2151
WBGene00000209,2194,2405,2676,3031
WBGene00000210,1651,1676,1939,2048
WBGene00012458,8752,8495,8371,9167
WBGene00022815,21,24,21,18
WBGene00012137,15,12,21,18
WBGene00000211,749,638,631,704
WBGene00000212,1196,937,909,1117
WBGene00000213,860,642,759,576
WBGene00014025,3035,2731,2423,2743
WBGene00018577,62,62,69,78
WBGene00000214,83785,89388,100894,107791
WBGene00000215,58779,54601,55349,63575
WBGene00000216,50863,49285,52728,57031
WBGene00000217,16996,15613,15794,17110
WBGene00000218,28203,27009,30700,33662
WBGene00000219,66244,64048,73129,78071
WBGene00008107,5995,5676,5012,5848
WBGene00020368,481,396,376,405
WBGene00000220,1472,1246,1213,1295
WBGene00000221,1541,1504,1378,1670
WBGene00000222,954,848,792,897
WBGene00000223,29110,27624,27821,30271
WBGene00008427,90,80,66,76
WBGene00017045,2018,1764,1659,1911
WBGene00017178,1095,957,916,951
WBGene00019427,1429,1212,1165,1275
WBGene00018294,12897,12500,11891,13638
WBGene00019748,5163,4702,4374,4911
WBGene00021922,1431,1372,1372,1563
WBGene00013595,1455,1399,1303,1521
WBGene00014080,616,575,490,538
WBGene00022152,1815,1711,1496,1803
WBGene00010882,2564,2551,2393,2972
WBGene00020706,6832,6739,7205,7563
WBGene00000224,3295,2927,3140,3057
WBGene00000225,1083,947,1061,1016
WBGene00010564,2186,2189,2248,2392
WBGene00008081,3648,3548,3216,3807
WBGene00000226,13851,12998,11482,13874
WBGene00000227,1504,1402,1431,1565
WBGene00000228,6623,5692,6266,5929
WBGene00000229,58280,58013,62282,65481
WBGene00000230,20668,19612,20425,20652
WBGene00020275,3440,3552,3823,4124
WBGene00007385,11938,11306,11771,12566
WBGene00000231,34122,35298,33987,38673
WBGene00006446,1559,1501,1533,1731
WBGene00044341,208,214,194,258
WBGene00000232,493,401,471,429
WBGene00000233,550,449,481,400
WBGene00010497,185,162,145,192
WBGene00007087,4574,4072,3735,4399
WBGene00007088,3932,3950,3776,4410
WBGene00007089,1420,1344,1246,1487
WBGene00007090,1431,1405,1431,1614
WBGene00007092,3267,3030,2945,3196
WBGene00007093,1858,1915,1699,1951
WBGene00007094,1799,1627,1453,1827
WBGene00007101,2773,2487,2218,2800
WBGene00007102,1998,1964,1890,2260
WBGene00007104,18,13,8,10
WBGene00007096,57,45,34,33
WBGene00007097,21,20,18,11
WBGene00015001,755,733,512,865
WBGene00015002,24,24,22,16
WBGene00015003,0,0,0,0
WBGene00015004,3,2,2,2
WBGene00015005,13,4,11,10
WBGene00044394,12,10,9,19
WBGene00007113,1030,929,727,948
WBGene00044290,143,168,144,225
WBGene00007106,1871,1805,1569,1918
WBGene00015006,0,0,4,0
WBGene00015009,2220,2052,1916,2259
WBGene00015011,2958,2799,2550,3065
WBGene00007115,34,38,49,50
WBGene00007116,327,263,287,289
WBGene00015017,6375,5708,5185,6188
WBGene00015024,4,5,1,3
WBGene00044413,16,27,13,56
WBGene00044644,23,24,20,32
WBGene00044646,0,2,2,2
WBGene00015019,163,109,126,125
WBGene00015020,0,0,0,2
WBGene00015022,787,780,574,860
WBGene00015023,2520,2371,2137,2503
WBGene00015026,1,0,1,0
WBGene00015033,1,0,1,0
WBGene00015034,1,0,0,0
WBGene00015027,20,26,22,18
WBGene00015028,91,76,58,58
WBGene00015029,809,785,715,875
WBGene00015030,0,2,0,2
WBGene00015031,0,0,0,0
WBGene00015032,1,0,0,0
WBGene00015037,681,649,515,708
WBGene00015049,9,2,8,4
WBGene00015051,2,0,1,2
WBGene00015053,20,16,10,8
WBGene00015058,0,8,2,1
WBGene00044582,21,13,13,16
WBGene00015056,293,250,217,277
WBGene00015059,108,70,79,77
WBGene00015063,238,181,209,266
WBGene00015064,824,689,721,759
WBGene00015065,0,0,0,0
WBGene00015066,1,0,0,1
WBGene00015075,4249,4059,3611,4294
WBGene00015076,26,31,41,32
WBGene00044537,9,8,15,11
WBGene00015073,3138,3028,2921,3557
WBGene00015086,0,0,0,0
WBGene00015084,191,214,203,181
WBGene00007121,244,245,200,230
WBGene00007122,2526,2555,2774,2861
WBGene00007125,3,6,8,11
WBGene00015087,486,390,357,444
WBGene00015088,1708,1462,1459,1504
WBGene00015089,2,3,3,2
WBGene00044615,14,11,5,21
WBGene00015091,3251,3041,2515,3112
WBGene00015093,5,5,1,2
WBGene00015094,4,2,2,2
WBGene00015095,4563,4271,4198,4678
WBGene00015096,565,457,377,503
WBGene00007129,1910,1820,1970,2058
WBGene00007130,548,499,553,552
WBGene00015097,11,8,8,5
WBGene00044674,46,43,47,50
WBGene00015100,10,7,16,19
WBGene00015103,32,15,38,24
WBGene00015104,2271,1947,1922,2368
WBGene00015108,0,1,0,6
WBGene00015110,293,264,239,286
WBGene00015111,14,15,22,20
WBGene00015112,1237,1188,995,1276
WBGene00015113,3,9,7,3
WBGene00015114,0,0,0,0
WBGene00007133,47,62,71,79
WBGene00007136,568,588,405,778
WBGene00007138,54,44,41,56
WBGene00015115,415,421,295,406
WBGene00015117,22,21,26,15
WBGene00015118,3,1,2,1
WBGene00015119,6,1,5,4
WBGene00015121,1,2,3,2
WBGene00015122,340,312,310,351
WBGene00015131,900,799,805,805
WBGene00015132,273,199,161,233
WBGene00044678,3,2,5,1
WBGene00015125,6829,6278,6432,6922
WBGene00015126,3989,3734,3293,3845
WBGene00015128,1295,1229,1278,1429
WBGene00015134,1152,1173,1115,1354
WBGene00015136,335,285,252,391
WBGene00015137,298,232,243,252
WBGene00015138,450,428,423,439
WBGene00015139,20,19,10,11
WBGene00015142,3,2,5,1
WBGene00007148,17,33,28,30
WBGene00007149,12,6,11,15
WBGene00007143,12040,10907,11450,12053
WBGene00007144,2565,2477,2172,2546
WBGene00007145,3124,3044,3272,3537
WBGene00007146,79,60,61,52
WBGene00015149,3,3,0,0
WBGene00015150,742,733,831,917
WBGene00015147,3684,3187,3046,3642
WBGene00015151,0,0,0,1
WBGene00015152,4,3,1,2
WBGene00015153,26,15,22,17
WBGene00015155,718,641,648,686
WBGene00015165,2,6,4,4
WBGene00015156,3104,2895,2605,2962
WBGene00015157,2466,2488,2097,2443
WBGene00015158,32,30,26,25
WBGene00015160,1821,1774,1504,1908
WBGene00015163,650,601,691,638
WBGene00007155,339,331,319,331
WBGene00007156,0,0,0,2
WBGene00007158,0,3,0,0
WBGene00007159,1,2,0,1
WBGene00007165,125,138,146,185
WBGene00007161,0,0,0,0
WBGene00007168,8371,7841,7384,8754
WBGene00007169,2,3,3,3
WBGene00007170,1586,1242,1251,1334
WBGene00007171,2299,2269,2168,2654
WBGene00007172,14,8,18,17
WBGene00007173,0,0,0,0
WBGene00044636,244,225,256,287
WBGene00007175,1830,1726,1700,1918
WBGene00015167,79,104,90,110
WBGene00015169,108,88,103,95
WBGene00043982,73,72,49,57
WBGene00015170,2,5,1,1
WBGene00015172,251,252,229,287
WBGene00015178,66,75,69,82
WBGene00015179,33,31,17,31
WBGene00015180,226,215,155,222
WBGene00015181,12528,11982,12430,13491
WBGene00015182,57,61,44,41
WBGene00015183,13,14,5,14
WBGene00015191,803,707,645,741
WBGene00015192,0,0,0,0
WBGene00044640,24,15,27,21
WBGene00015188,1169,1031,1009,1129
WBGene00015189,701,628,533,651
WBGene00015190,50,52,55,56
WBGene00015196,138,171,169,191
WBGene00015197,337,282,344,355
WBGene00015199,3,5,1,5
WBGene00007178,319,303,252,308
WBGene00007179,1,0,0,1
WBGene00007180,118,105,110,119
WBGene00007181,27,17,24,14
WBGene00007183,2,0,6,2
WBGene00007186,5831,5291,5075,5757
WBGene00007188,1702,1503,1433,1745
WBGene00015202,11,8,1,6
WBGene00007189,1048,933,989,1046
WBGene00007192,5177,4938,4980,5307
WBGene00007193,2364,2253,2107,2456
WBGene00007194,450,443,440,500
WBGene00015204,1375,1240,1138,1331
WBGene00015206,7767,7261,7087,7957
WBGene00015207,2623,2546,2149,2722
WBGene00015208,1113,962,925,1088
WBGene00015210,0,0,0,0
WBGene00015211,17,12,7,13
WBGene00015215,0,5,0,2
WBGene00015218,494,363,397,368
WBGene00015219,837,695,646,746
WBGene00015220,505,440,478,490
WBGene00015221,0,0,1,0
WBGene00015222,2,0,2,0
WBGene00015223,13,9,11,11
WBGene00015224,5,8,3,6
WBGene00015225,9,10,16,6
WBGene00015226,9,6,4,7
WBGene00015236,44,48,31,40
WBGene00015237,8404,7989,7512,8717
WBGene00015238,1113,1066,962,1236
WBGene00015228,158,178,148,132
WBGene00015233,1681,1624,1463,1755
WBGene00007196,1178,1404,1224,2105
WBGene00007198,1,1,5,2
WBGene00015241,1,0,0,0
WBGene00015242,1,0,0,0
WBGene00015243,0,0,0,4
WBGene00015244,1,1,1,1
WBGene00015245,1300,1335,1121,1438
WBGene00195367,1106,1037,898,1153
WBGene00015250,643,590,611,648
WBGene00015251,1420,1381,1351,1490
WBGene00015252,0,0,0,0
WBGene00015253,0,0,0,0
WBGene00015254,0,0,0,1
WBGene00015255,2,1,1,0
WBGene00015257,1,1,1,4
WBGene00015258,30,19,18,9
WBGene00015260,6,4,8,5
WBGene00015261,16,18,21,21
WBGene00077673,6,2,8,10
WBGene00015262,6,2,8,12
WBGene00015263,240,198,155,255
WBGene00015265,7,6,8,10
WBGene00044687,0,0,0,0
WBGene00007202,230,212,237,253
WBGene00007206,174,110,98,126
WBGene00007207,1935,1802,1616,1961
WBGene00007208,87,55,49,63
WBGene00000235,2681,2657,2451,2765
WBGene00000236,1074,1000,949,1242
WBGene00000237,1351,1103,1164,1227
WBGene00000238,388,350,328,375
WBGene00000239,903,858,835,779
