wormbase_gene,Nr35.counts,Nr36.counts,Nr37.counts,Nr38.counts
WBGene00019768,136,137,112,144
WBGene00019769,39,40,28,30
WBGene00019770,405,429,455,518
WBGene00019771,3279,3114,3044,3488
WBGene00019772,157,128,187,152
WBGene00019773,4,2,3,4
WBGene00019774,171,201,215,169
WBGene00010869,3,4,0,2
WBGene00010871,23,20,20,15
WBGene00010872,1348,1264,1182,1360
WBGene00010874,2,1,3,0
WBGene00010875,4139,3709,3282,3808
WBGene00010878,509,447,434,546
WBGene00010879,794,763,708,809
WBGene00010880,5,0,3,5
WBGene00010881,14,9,11,10
WBGene00010910,2343,2174,2201,2514
WBGene00010911,7962,7367,6553,7395
WBGene00044924,388,350,335,419
WBGene00077658,649,683,653,747
WBGene00010913,1240,1109,897,1179
WBGene00010915,7,3,2,1
WBGene00010916,1,3,2,1
WBGene00010917,6,3,8,3
WBGene00019788,0,0,0,0
WBGene00019789,147,125,147,119
WBGene00019792,828,827,774,900
WBGene00010918,649,550,626,667
WBGene00010919,7,1,2,5
WBGene00010920,29,44,29,55
WBGene00044253,10,12,10,25
WBGene00010922,824,882,889,881
WBGene00043057,809,847,837,934
WBGene00019793,20,21,29,24
WBGene00019794,25,26,29,36
WBGene00019795,211,213,210,239
WBGene00019796,53,38,39,42
WBGene00019799,455,487,523,538
WBGene00010924,627,515,589,549
WBGene00010925,306,315,305,307
WBGene00010926,21,8,22,18
WBGene00044144,79,75,84,71
WBGene00045481,29,25,31,19
WBGene00010931,198,211,239,235
WBGene00010932,0,1,0,0
WBGene00010935,988,782,742,888
WBGene00044146,0,0,0,0
WBGene00044147,1,1,0,0
WBGene00010937,9,6,7,3
WBGene00010938,3,1,0,1
WBGene00010939,1,0,0,1
WBGene00010940,58,47,67,70
WBGene00044145,1,0,0,0
WBGene00010946,3,2,0,0
WBGene00010947,143,161,172,184
WBGene00010943,417,428,495,400
WBGene00010944,231,167,175,170
WBGene00010889,1281,1171,977,1174
WBGene00010891,1401,1313,1065,1302
WBGene00010948,78,42,75,68
WBGene00010949,0,0,0,0
WBGene00010951,399,392,389,440
WBGene00010955,2,0,1,2
WBGene00010956,0,0,0,1
WBGene00044998,5,9,1,6
WBGene00010901,1989,1832,1965,2186
WBGene00010894,4,5,3,5
WBGene00010895,1,0,2,1
WBGene00010896,6487,6503,6929,7200
WBGene00010899,829,744,766,778
WBGene00010900,1,5,1,2
WBGene00019766,3131,3154,2747,3322
WBGene00019777,529,412,428,466
WBGene00019778,2631,2565,2545,2787
WBGene00019776,12,14,19,11
WBGene00019780,2208,1760,2164,2408
WBGene00019781,211,179,217,209
WBGene00019782,89,92,109,124
WBGene00010886,0,3,0,1
WBGene00010887,109,103,76,93
WBGene00010883,1,5,0,4
WBGene00010884,92,91,85,105
WBGene00010885,0,2,0,0
WBGene00019783,0,0,0,0
WBGene00019784,0,0,0,0
WBGene00019785,1,2,0,8
WBGene00019786,1137,1167,1088,1223
WBGene00019787,452,397,406,460
WBGene00010902,198,186,183,193
WBGene00010906,24,28,27,24
WBGene00010907,49,38,57,47
WBGene00007680,271,259,210,311
WBGene00003107,260,241,241,289
WBGene00003111,3926,3732,3895,4088
WBGene00003112,269,230,219,245
WBGene00003114,7,3,3,9
WBGene00003100,17,15,20,16
WBGene00003102,160,121,126,162
WBGene00003104,275,232,227,237
WBGene00003106,37,27,32,26
WBGene00003119,1686,1691,1869,1806
WBGene00021942,99,102,104,110
WBGene00003123,3559,3459,3164,3670
WBGene00010444,3643,3334,3127,3599
WBGene00003124,3536,3342,3793,3971
WBGene00015248,3278,3638,3686,4045
WBGene00007007,2479,2163,2129,2185
WBGene00017123,1745,1538,1541,1740
WBGene00003129,1514,1548,1647,1696
WBGene00003130,4217,4311,3982,4346
WBGene00018847,5718,5258,4832,5647
WBGene00003132,9783,9535,9212,10451
WBGene00003133,9017,8367,7625,9024
WBGene00003134,2836,2779,2746,2962
WBGene00015015,0,1,0,1
WBGene00015839,46,30,19,25
WBGene00015840,4,0,0,3
WBGene00015827,0,0,0,0
WBGene00015828,145,118,116,127
WBGene00015829,9,3,1,4
WBGene00015832,8,2,3,6
WBGene00015833,3,7,4,7
WBGene00016544,52,44,51,46
WBGene00016554,0,0,0,0
WBGene00015606,2,2,3,2
WBGene00016555,103,76,76,85
WBGene00016556,32,21,23,26
WBGene00016717,14,23,16,17
WBGene00016718,1,3,4,2
WBGene00016719,103,95,111,127
WBGene00016720,0,0,0,2
WBGene00018100,218,168,160,162
WBGene00018101,332,229,225,285
WBGene00018102,64,89,86,68
WBGene00018441,13,32,24,20
WBGene00015608,501,384,394,433
WBGene00018662,3,1,5,0
WBGene00018663,0,0,1,1
WBGene00019135,1,2,1,1
WBGene00010406,35865,33842,32314,36134
WBGene00019699,201,197,172,188
WBGene00020075,92,72,63,95
WBGene00020080,14,6,9,19
WBGene00020326,166,107,87,105
WBGene00020358,69,51,42,50
WBGene00015609,791,651,588,616
WBGene00020359,77,54,52,51
WBGene00020360,354,257,277,277
WBGene00020532,186,141,151,157
WBGene00022432,30,23,24,36
WBGene00021193,58,65,58,68
WBGene00021772,128,125,107,125
WBGene00021175,9,8,14,14
WBGene00022688,158,122,143,152
WBGene00022689,64,55,44,57
WBGene00022690,15,16,11,20
WBGene00015834,0,0,0,1
WBGene00022691,3,3,1,3
WBGene00015835,1,0,0,0
WBGene00015836,0,2,0,0
WBGene00015837,9,5,1,3
WBGene00015838,5,1,1,4
WBGene00003136,2540,2379,2181,2530
WBGene00003142,1124,984,818,971
WBGene00003143,1474,1057,1101,1076
WBGene00003144,16377,15055,14335,16900
WBGene00023409,1104,1066,989,1259
WBGene00003148,3223,3176,3158,3388
WBGene00003149,2519,2449,2307,2625
WBGene00003150,80215,75367,74601,81085
WBGene00011315,55,63,47,46
WBGene00021661,5119,4929,5066,5796
WBGene00003151,19716,17453,17341,17925
WBGene00003153,45307,41745,44291,45685
WBGene00013096,2506,2531,2341,2732
WBGene00008415,1151,1020,1003,1015
WBGene00003154,32011,32326,32009,35682
WBGene00003155,16953,15815,15181,17599
WBGene00003156,11675,12044,11931,13224
WBGene00003157,16685,16066,15115,16992
WBGene00003158,29952,27805,25462,30462
WBGene00003159,23282,23142,23463,25749
WBGene00003160,5420,5001,4214,5105
WBGene00003161,4823,4489,4190,4651
WBGene00018491,12877,12773,13684,13841
WBGene00003163,496,394,448,401
WBGene00007011,549,472,463,531
WBGene00007014,611,631,458,617
WBGene00007015,699,659,606,775
WBGene00007016,13251,12055,12195,13289
WBGene00007017,5506,5468,5142,5609
WBGene00007018,1103,977,949,1037
WBGene00007019,1128,1076,1060,1265
WBGene00007020,525,579,530,568
WBGene00007704,174,185,173,195
WBGene00007022,954,861,778,933
WBGene00007023,2064,1928,1839,2130
WBGene00009223,37876,35758,35173,40374
WBGene00007025,1657,1590,1464,1766
WBGene00007026,281,290,283,362
WBGene00007012,1830,1755,1751,2020
WBGene00003164,1621,1493,1493,1886
WBGene00007013,4700,4445,3715,4836
WBGene00003165,2175,1283,1898,1773
WBGene00003174,41,32,34,30
WBGene00003175,1415,1373,1486,1370
WBGene00003176,3,4,8,3
WBGene00003178,379,290,312,307
WBGene00003179,73,61,66,59
WBGene00003166,523,301,450,350
WBGene00003167,177,97,130,162
WBGene00003168,33,23,35,27
WBGene00003169,348,328,330,281
WBGene00003170,304,205,232,205
WBGene00003171,808,623,734,717
WBGene00003172,3258,2835,2780,3174
WBGene00003173,97,75,60,59
WBGene00003180,0,1,2,0
WBGene00003181,1,1,2,0
WBGene00003182,187,183,188,197
WBGene00010492,6457,6107,6317,6918
WBGene00010493,1182,1172,1267,1311
WBGene00003183,11634,11245,10611,12066
WBGene00003184,5152,4783,4955,5403
WBGene00003185,6231,6173,5797,6626
WBGene00003186,2460,2136,2148,2220
WBGene00003196,32001,30975,28276,32722
WBGene00003209,7658,6909,6265,7005
WBGene00003210,15650,14878,13204,15795
WBGene00003214,32074,30838,32102,35661
WBGene00020284,2411,2327,2117,2563
WBGene00003218,10152,9821,8891,10358
WBGene00003219,1056,994,967,1039
WBGene00003220,3536,3299,3090,3456
WBGene00003221,7597,6854,6422,7464
WBGene00003222,5309,5219,4689,5565
WBGene00003224,3172,2890,2714,3226
WBGene00016603,18668,17096,14904,18267
WBGene00019883,6081,5779,5159,6006
WBGene00003225,2088,2058,2241,2409
WBGene00003228,12493,13473,12764,14428
WBGene00003229,25634,27120,26828,29581
WBGene00003230,26601,27330,26231,30088
WBGene00003231,14903,14775,14563,16869
WBGene00008439,568,407,470,471
WBGene00003232,152,134,78,120
WBGene00003233,185,158,156,143
WBGene00021152,131,99,99,118
WBGene00003234,412,480,435,497
WBGene00003235,436,412,411,532
WBGene00003236,458,468,470,593
WBGene00003237,8,7,5,7
WBGene00003238,1367,1280,1424,1557
WBGene00003243,8320,7096,6542,7252
WBGene00003245,764,666,682,776
WBGene00003246,2404,2400,2378,2633
WBGene00003247,13436,11994,11136,12028
WBGene00003248,344,326,288,303
WBGene00003239,866,877,817,889
WBGene00003253,9173,9098,8313,9737
WBGene00003254,849,766,711,810
WBGene00008684,3554,3211,2590,3177
WBGene00003241,13262,13304,12705,14078
WBGene00021648,2046,2020,1808,2106
WBGene00015186,2543,2311,2155,2381
WBGene00003367,9527,8638,7778,9416
WBGene00011259,3427,3151,3225,3558
WBGene00003368,446,414,359,358
WBGene00003369,4442,4034,4089,3978
WBGene00003370,5389,4646,4715,5114
WBGene00003371,8258,7125,7765,7374
WBGene00003372,3737,3598,3390,4147
WBGene00009439,4407,3828,3423,4215
WBGene00003373,2908,2972,2914,3201
WBGene00003374,2006,1607,1679,1878
WBGene00003375,1910,2064,2179,2118
WBGene00003376,20,28,19,28
WBGene00003377,335,266,223,289
WBGene00015646,700,608,609,632
WBGene00012186,12090,10776,11129,12059
WBGene00013835,99,84,94,97
WBGene00022743,841,740,731,789
WBGene00021095,2105,1841,2076,2052
WBGene00008605,2241,1473,1950,1723
WBGene00020169,6890,5939,5141,6216
WBGene00016144,745,773,744,906
WBGene00014202,6516,5925,5871,6438
WBGene00003378,3816,3220,3136,3600
WBGene00018769,3407,3224,2983,3448
WBGene00011304,19977,19563,19513,21834
WBGene00003380,85,79,81,77
WBGene00007139,2925,2730,2631,2807
WBGene00003384,736,612,605,691
WBGene00003385,221,222,218,244
WBGene00003386,76,123,88,96
WBGene00003387,93,84,86,107
WBGene00003388,316,233,262,249
WBGene00003389,8118,7741,6458,7944
WBGene00003392,3847,3859,3539,4312
WBGene00003393,7921,7095,6379,7821
WBGene00003394,282,281,241,275
WBGene00003395,7411,6929,6848,7794
WBGene00003396,2611,2513,2371,2784
WBGene00003397,6742,6362,6235,7165
WBGene00008685,5292,5021,4935,5610
WBGene00019827,4199,4063,4203,4549
WBGene00013140,2161,1954,1991,2204
WBGene00020858,807,772,675,830
WBGene00022531,4172,4020,3773,4347
WBGene00003401,7848,7571,7506,8737
WBGene00003402,721,474,667,519
WBGene00022159,1177,1098,1141,1203
WBGene00013880,1995,1805,1580,1893
WBGene00003403,23,14,7,8
WBGene00019282,1160,1094,1013,1184
WBGene00020282,7,0,5,2
WBGene00017323,1,4,2,2
WBGene00003404,6912,5504,5748,5360
WBGene00006437,11416,10464,9711,11000
WBGene00003405,4931,4512,4088,4858
WBGene00003406,11934,11810,11941,13285
WBGene00003407,17764,14954,14900,15716
WBGene00003408,757,663,658,717
WBGene00003409,660,578,567,636
WBGene00003410,13210,13276,13116,15224
WBGene00003411,11410,10497,10444,11619
WBGene00003412,616,521,538,546
WBGene00003413,6028,5958,6171,6750
WBGene00003414,222,209,200,194
WBGene00003417,642,678,640,654
WBGene00003418,4714,4696,4282,4818
WBGene00003420,15,13,12,20
WBGene00003421,2279,2085,1859,2299
WBGene00003422,8699,8369,7623,8982
WBGene00003423,1698,1558,1520,1650
WBGene00003425,0,0,0,0
WBGene00003468,0,0,0,0
WBGene00003469,1,1,0,0
WBGene00003470,1,1,0,0
WBGene00003426,0,1,0,0
WBGene00003424,0,1,0,0
WBGene00003429,13,10,9,9
WBGene00003430,0,0,0,0
WBGene00003431,0,2,0,0
WBGene00003432,0,0,0,1
WBGene00003434,0,0,1,0
WBGene00003435,1,3,2,1
WBGene00003438,1,2,0,0
WBGene00003442,1,0,0,0
WBGene00003443,1,0,0,0
WBGene00003444,494,465,416,508
WBGene00003446,0,0,0,0
WBGene00003448,0,2,0,0
WBGene00003449,0,2,0,2
WBGene00003450,0,1,0,1
WBGene00003452,0,0,0,1
WBGene00003456,0,0,0,0
WBGene00003457,2,1,0,1
WBGene00003458,0,0,0,0
WBGene00003462,0,0,0,0
WBGene00003463,3,4,0,0
WBGene00003464,0,1,0,0
WBGene00003465,0,3,0,1
WBGene00003466,0,0,0,0
WBGene00003467,0,0,0,2
WBGene00010557,4367,4074,3668,4387
WBGene00003471,51,40,42,42
WBGene00003472,11525,10032,8736,10660
WBGene00003473,2121,1337,1134,1728
WBGene00003474,554,596,515,1080
WBGene00003475,1433,1280,1154,1330
WBGene00003476,36395,33424,30056,35867
WBGene00003477,1802,1742,1577,1783
WBGene00003478,8091,7565,6789,7778
WBGene00003479,4314,4277,4386,4779
WBGene00012342,6363,5890,5182,6126
WBGene00019800,1269,1312,1099,1551
WBGene00009559,3020,2724,2741,3114
WBGene00022516,2875,2658,2734,3106
WBGene00003482,8609,7703,7300,7800
WBGene00003485,2194,1889,1866,1797
WBGene00003495,4611,4059,4200,3922
WBGene00003497,8274,6955,6723,6760
WBGene00009507,4500,4377,3800,4483
WBGene00016602,2511,2163,1764,2364
WBGene00003507,951,932,853,1096
WBGene00011323,1729,1689,1532,1878
WBGene00003508,14261,13695,12798,15321
WBGene00003499,5023,4712,3925,4934
WBGene00003504,4895,4497,3996,4779
WBGene00015508,1189,1047,1102,1297
WBGene00003509,805,758,737,1010
WBGene00003510,938,1084,1031,1182
WBGene00003511,320,306,343,315
WBGene00003514,5749,4309,5359,4669
WBGene00003515,9995,7427,8279,8161
WBGene00019064,2724,1950,2011,2001
WBGene00007029,2691,2375,2120,2534
WBGene00010537,2205,2126,2107,2248
WBGene00007914,2411,2230,1932,2280
WBGene00003516,17143,13646,13366,14428
WBGene00003517,552,478,448,423
WBGene00003518,506,420,394,481
WBGene00003519,948,750,850,890
WBGene00003520,20,8,31,20
WBGene00003529,8,1,7,5
WBGene00003530,4268,4000,3583,4231
WBGene00003531,42,30,32,40
WBGene00003532,25,11,20,26
WBGene00003533,71,64,59,63
WBGene00003534,58,39,67,43
WBGene00003535,0,0,0,0
WBGene00003536,0,4,1,0
WBGene00003537,1,0,0,0
WBGene00003538,5,2,1,3
WBGene00003521,0,0,0,0
WBGene00003539,1300,1102,1034,1204
WBGene00003540,38,27,24,29
WBGene00003541,17,18,8,13
WBGene00003542,12,6,8,6
WBGene00003543,1,7,0,1
WBGene00003544,17,17,13,23
WBGene00003545,8,14,8,6
WBGene00003546,83,82,73,81
WBGene00003547,16,18,19,15
WBGene00003522,209,219,215,159
WBGene00003548,75,45,48,34
WBGene00003549,249,200,168,189
WBGene00003550,78,66,61,75
WBGene00003551,59,39,38,33
WBGene00003552,38,45,39,43
WBGene00003553,921,779,769,950
WBGene00003554,61,40,66,37
WBGene00003555,471,438,445,481
WBGene00003523,42,39,30,35
WBGene00003524,68,70,62,88
WBGene00003525,76,26,53,63
WBGene00003526,147,122,122,87
WBGene00003527,37,20,37,21
WBGene00003528,1283,1160,1234,1221
WBGene00007500,6518,6249,5198,6746
WBGene00008218,36842,36632,33696,39557
WBGene00003558,250,166,171,200
WBGene00017184,11482,9589,9087,10047
WBGene00018156,6726,6135,5660,6670
WBGene00009141,1723,1768,1511,1698
WBGene00006410,3404,3104,2912,3328
WBGene00003559,5594,5537,5535,6434
WBGene00003561,537,500,518,543
WBGene00003562,61,53,54,55
WBGene00003563,31,18,18,12
WBGene00003564,4100,3440,3551,3680
WBGene00003565,69,48,41,47
WBGene00003566,2422,2274,2129,2127
WBGene00003575,30,22,17,21
WBGene00003567,12118,9725,10553,9794
WBGene00003568,2256,1900,1809,2013
WBGene00003569,224,178,216,190
WBGene00003570,16,2,7,6
WBGene00003571,114,113,118,125
WBGene00003572,738,628,690,678
WBGene00003573,49,39,33,39
WBGene00003574,12,10,4,5
WBGene00003576,5777,5393,4219,5588
WBGene00003577,2315,2278,2300,2502
WBGene00006463,3472,3186,3083,3419
WBGene00021839,1592,1500,1568,1991
WBGene00009051,1324,1235,1238,1455
WBGene00012376,3301,3140,3170,3336
WBGene00003578,250,223,270,283
WBGene00003579,60,49,64,61
WBGene00003580,256,226,191,238
WBGene00003581,388,339,334,421
WBGene00003583,601,526,544,582
WBGene00003584,857,731,790,883
WBGene00003585,74,58,61,69
WBGene00003586,2757,2450,2449,2656
WBGene00003587,1471,1446,1314,1648
WBGene00021461,38,38,32,38
WBGene00022631,300,298,228,307
WBGene00008956,257,201,194,196
WBGene00017033,46,25,35,36
WBGene00013926,2328,2061,1992,2251
WBGene00020230,877,782,855,758
WBGene00003588,5549,5001,5751,5816
WBGene00003589,2500,2233,2461,2404
WBGene00003590,706,628,549,566
WBGene00003591,106,83,106,97
WBGene00003592,8156,7638,7475,8089
WBGene00003593,2631,2223,1877,2312
WBGene00003594,1100,1128,1092,1155
WBGene00011614,808,761,729,870
WBGene00043056,888,964,899,1001
WBGene00021132,1592,1546,1325,1684
WBGene00017742,1384,1377,1119,1396
WBGene00003595,166,162,139,188
WBGene00003596,15412,13196,11634,13964
WBGene00003597,743,663,637,651
WBGene00003598,7349,7004,6968,8187
WBGene00003599,1633,1465,1520,1730
WBGene00003600,2573,2329,2535,2503
WBGene00003609,826,773,679,851
WBGene00003690,371,315,278,345
WBGene00003691,929,803,792,823
WBGene00003692,124,109,98,125
WBGene00003693,113,104,69,84
WBGene00003694,528,394,551,525
WBGene00003695,707,573,532,563
WBGene00003696,83,69,60,81
WBGene00003697,150,121,90,123
WBGene00003698,29,19,30,30
WBGene00003699,415,303,300,357
WBGene00003610,867,690,738,693
WBGene00003700,136,160,114,146
WBGene00003701,12,7,9,7
WBGene00003702,75,68,90,112
WBGene00003703,4,3,2,3
WBGene00003704,3717,3609,3473,3571
WBGene00003705,40,44,44,47
WBGene00003706,66,65,60,50
WBGene00003707,184,124,138,170
WBGene00003708,0,0,0,0
WBGene00003709,376,331,364,379
WBGene00003611,1256,1119,886,1088
WBGene00003710,138,116,101,110
WBGene00003711,241,232,194,270
WBGene00003712,262,226,215,259
WBGene00003713,82,38,48,45
WBGene00003714,23,19,19,11
WBGene00003715,136,81,90,80
WBGene00003716,113,93,71,83
WBGene00003717,222,181,170,211
WBGene00003718,76,85,90,105
WBGene00003719,168,151,180,167
WBGene00003612,1150,1101,1008,1191
WBGene00003720,131,101,109,114
WBGene00003721,152,134,123,139
WBGene00003722,88,64,63,69
WBGene00003723,122,118,129,97
WBGene00003724,145,130,118,145
WBGene00003725,143,138,135,157
WBGene00003726,136,141,104,143
WBGene00003727,608,641,481,557
WBGene00003728,796,705,660,715
WBGene00016365,88,67,63,77
WBGene00003613,1036,882,882,1006
WBGene00016366,113,101,100,128
WBGene00017787,57,43,44,61
WBGene00018430,93,87,99,79
WBGene00019116,143,135,127,130
WBGene00019117,88,78,76,111
WBGene00012703,145,133,126,143
WBGene00045255,128,102,90,103
WBGene00015395,38,22,30,31
WBGene00015396,27,17,18,20
WBGene00015397,28,16,25,14
WBGene00003614,94,76,80,89
WBGene00007367,40,31,15,29
WBGene00015705,93,75,76,83
WBGene00007546,130,79,92,86
WBGene00007547,219,200,166,195
WBGene00015758,0,0,1,0
WBGene00015897,57,30,44,49
WBGene00015900,8,11,11,2
WBGene00015901,11,6,7,9
WBGene00015902,3,0,1,2
WBGene00003615,52,38,46,35
WBGene00016364,159,139,130,166
WBGene00016367,34,27,28,21
WBGene00016368,105,79,88,72
WBGene00008056,2,3,0,1
WBGene00008158,7,3,2,3
WBGene00016772,0,0,2,2
WBGene00008208,5,2,5,4
WBGene00008221,197,158,198,171
WBGene00008289,4,4,4,1
WBGene00003616,531,431,458,483
WBGene00008309,62,43,54,59
WBGene00016926,17,17,21,19
WBGene00016927,19,20,20,19
WBGene00016975,202,168,149,189
WBGene00008474,0,2,1,0
WBGene00008630,10,7,5,6
WBGene00008830,119,106,89,114
WBGene00017503,113,84,66,85
WBGene00017510,36,38,26,41
WBGene00017512,50,45,38,42
WBGene00003617,169,129,107,153
WBGene00017961,115,84,95,92
WBGene00018189,131,130,116,166
WBGene00018265,118,104,93,106
WBGene00018266,84,73,71,68
WBGene00018415,82,56,63,60
WBGene00018539,1,0,0,1
WBGene00018541,6,4,14,6
WBGene00018542,4,5,6,5
WBGene00018544,6,5,6,6
WBGene00018545,2,1,0,1
WBGene00003618,295,212,250,291
WBGene00018622,81,60,63,77
WBGene00010180,6,2,0,7
WBGene00010215,57,34,37,62
WBGene00019114,57,42,55,52
WBGene00019115,38,32,34,44
WBGene00010600,1,3,0,0
WBGene00010602,1,1,2,1
WBGene00010603,5,1,1,0
WBGene00010604,8,2,5,2
WBGene00003601,1233,1199,1090,1320
WBGene00003619,909,796,742,904
WBGene00019741,216,162,167,165
WBGene00019742,279,275,219,253
WBGene00019743,220,234,187,224
WBGene00019816,114,83,109,104
WBGene00011002,46,30,33,28
WBGene00011097,28,25,21,27
WBGene00011098,3,2,4,3
WBGene00011099,16,16,14,18
WBGene00011100,100,85,78,92
WBGene00003620,3035,2311,2594,2682
WBGene00020015,27,36,39,39
WBGene00020152,50,62,67,48
WBGene00020153,187,210,152,182
WBGene00011520,67,62,53,56
WBGene00011566,2,2,0,2
WBGene00011567,0,0,0,0
WBGene00020385,12,11,13,20
WBGene00011651,0,0,0,0
WBGene00011750,145,115,101,94
WBGene00020555,8,8,9,8
WBGene00003621,738,637,634,748
WBGene00020591,20,13,17,9
WBGene00020748,47,27,35,35
WBGene00020750,3,0,1,0
WBGene00012050,0,0,0,0
WBGene00020849,20,35,30,30
WBGene00020850,52,36,42,50
WBGene00020851,15,7,10,10
WBGene00020852,366,323,296,308
WBGene00013795,0,2,0,0
WBGene00003622,11428,10840,10279,10863
WBGene00012446,74,64,62,87
WBGene00012449,25,21,26,22
WBGene00012494,198,142,150,201
WBGene00006471,0,0,0,0
WBGene00012596,2,1,3,2
WBGene00012597,2,5,1,0
WBGene00021417,20,11,9,21
WBGene00021610,66,62,56,61
WBGene00021611,54,49,39,53
WBGene00021848,598,642,593,705
WBGene00013483,0,0,0,0
WBGene00022097,0,1,0,0
WBGene00013584,129,115,104,118
WBGene00014186,4,3,1,3
WBGene00014189,2,1,1,3
WBGene00014192,28,21,23,29
WBGene00014193,4,4,4,3
WBGene00013940,0,0,0,0
WBGene00022726,3,4,1,1
WBGene00003623,2074,1739,1893,1993
WBGene00022755,9,9,8,7
WBGene00022756,4,3,2,2
WBGene00022637,0,0,0,0
WBGene00022639,15,7,8,20
WBGene00022640,3,0,0,0
WBGene00014068,0,1,1,0
WBGene00022805,323,303,299,344
WBGene00015869,1,1,0,0
WBGene00016126,10,7,5,8
WBGene00007770,3,1,0,0
WBGene00011568,31,15,24,25
WBGene00016517,5,5,12,8
WBGene00016777,0,0,1,1
WBGene00008619,0,0,0,1
WBGene00017367,9,5,8,12
WBGene00008778,0,0,0,0
WBGene00009608,1,0,0,0
WBGene00018993,1,1,0,2
WBGene00010410,0,0,0,0
WBGene00010601,1,0,0,2
WBGene00011150,1,2,0,2
WBGene00008901,5146,4704,4920,4887
WBGene00020062,124,107,93,85
WBGene00011396,0,1,0,1
WBGene00011565,0,0,1,0
WBGene00020460,38,34,40,33
WBGene00021522,1361,1268,1232,1395
WBGene00021163,11,9,13,12
WBGene00013512,0,0,0,0
WBGene00022374,9,6,19,9
WBGene00022636,1,1,0,0
WBGene00003624,849,700,731,800
WBGene00016227,3,3,2,2
WBGene00008884,3,3,4,4
WBGene00010017,2,2,2,1
WBGene00010186,4,5,2,1
WBGene00012056,0,0,1,1
WBGene00044699,100,84,56,75
WBGene00021521,1,2,5,3
WBGene00013067,0,0,0,0
WBGene00003602,1019,820,875,828
WBGene00016091,9,15,10,8
WBGene00003625,6196,5081,4774,5085
WBGene00003626,518,429,433,455
WBGene00003627,5119,4285,4183,4583
WBGene00003628,1258,1153,1073,1264
WBGene00017198,69,61,65,78
WBGene00018412,5,3,4,8
WBGene00003629,0,2,4,1
WBGene00018404,5,2,0,0
WBGene00003603,706,622,558,626
WBGene00003630,1827,1714,1553,1585
WBGene00022423,470,379,439,414
WBGene00003632,196,149,147,169
WBGene00003633,472,358,381,439
WBGene00003634,238,173,176,183
WBGene00003635,677,578,571,599
WBGene00003636,7060,6385,6493,7040
WBGene00003637,726,593,604,623
WBGene00003638,2946,2900,2857,3056
WBGene00003639,14943,13287,13312,14879
WBGene00003604,259,238,218,233
WBGene00003640,317,213,255,222
WBGene00003641,18,10,10,14
WBGene00003642,10,6,6,8
WBGene00003643,118,98,99,107
WBGene00003644,28,34,26,31
WBGene00003645,168,133,115,109
WBGene00003646,364,290,245,343
WBGene00003647,243,220,234,232
WBGene00003648,252,206,242,275
WBGene00003649,79,64,72,58
WBGene00003605,111,92,86,91
WBGene00003650,63,64,62,70
WBGene00003651,1120,1091,1121,1107
WBGene00003652,1466,1172,1095,1304
WBGene00003653,54,37,45,51
WBGene00003654,735,651,538,724
WBGene00003655,275,234,273,232
WBGene00003656,16414,15055,15159,17559
WBGene00003657,197,169,156,157
WBGene00003658,2042,1746,1696,1946
WBGene00003659,710,694,548,615
WBGene00003606,107,72,66,82
WBGene00003660,459,422,438,452
WBGene00003661,2070,1962,1961,2222
WBGene00003662,1,2,3,1
WBGene00003663,2,1,1,3
WBGene00003664,7,7,3,5
WBGene00003665,1,2,1,1
WBGene00015497,199,183,176,224
WBGene00003667,0,0,0,0
WBGene00003668,141,112,120,171
WBGene00003669,205,178,168,222
WBGene00003607,764,566,539,562
WBGene00003670,389,453,374,487
WBGene00003671,10,10,3,5
WBGene00003672,0,0,1,0
WBGene00003673,17,27,39,19
WBGene00003674,207,173,173,203
WBGene00003675,264,252,280,266
WBGene00003676,1119,1067,1071,1230
WBGene00003677,127,122,112,93
WBGene00003678,671,628,707,672
WBGene00003679,0,0,0,0
WBGene00003608,0,0,2,0
WBGene00003680,127,127,111,116
WBGene00003681,1050,944,1038,1052
WBGene00003682,131,114,101,126
WBGene00003684,175,193,127,179
WBGene00003685,438,386,387,414
WBGene00003686,78,78,61,94
WBGene00003687,5329,4577,4777,4856
WBGene00003688,212,167,181,192
WBGene00003689,39,26,26,28
WBGene00003729,180,163,145,144
WBGene00003730,1499,1395,1339,1417
WBGene00003731,426,364,341,404
WBGene00003732,769,746,720,742
WBGene00003733,1556,1362,1302,1514
WBGene00003734,2,4,9,6
WBGene00003735,1268,1306,1339,1320
WBGene00003736,1780,1305,1449,1463
WBGene00003738,8956,8166,7754,8653
WBGene00010700,1993,1920,1900,1985
WBGene00014206,238,226,197,224
WBGene00009232,2,4,2,2
WBGene00010984,1603,1533,1645,1821
WBGene00012543,9616,9214,8953,10234
WBGene00006412,847,679,770,741
WBGene00003739,106,87,84,97
WBGene00003748,151,157,127,112
WBGene00003749,200,208,219,211
WBGene00003750,35,33,23,50
WBGene00003751,309,255,268,261
WBGene00003752,353,310,338,298
WBGene00003753,139,120,155,123
WBGene00003754,411,334,286,313
WBGene00003755,36,42,29,58
WBGene00003756,161,152,149,179
WBGene00003757,10,9,11,8
WBGene00003740,21,21,26,20
WBGene00003758,252,257,258,313
WBGene00003759,671,569,552,540
WBGene00003760,4,2,1,0
WBGene00003761,1,0,1,2
WBGene00003762,263,258,238,275
WBGene00003763,15,16,8,16
WBGene00003764,34,25,21,34
WBGene00003765,641,721,363,990
WBGene00003766,426,457,246,862
WBGene00003767,787,825,548,1147
