wormbase_gene,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
WBGene00009677,13,14
WBGene00018411,2,1
WBGene00018407,119,239
WBGene00018408,353,271
WBGene00009679,48,75
WBGene00018421,1305,631
WBGene00018422,68,39
WBGene00009688,615,915
WBGene00018431,187,116
WBGene00009704,1,12
WBGene00009711,1247,792
WBGene00009712,708,714
WBGene00009713,72,48
WBGene00009722,10,18
WBGene00009723,24,94
WBGene00018462,3,5
WBGene00018476,1,1
WBGene00018470,3,2
WBGene00018482,2180,1162
WBGene00009736,249,181
WBGene00009733,84,54
WBGene00009734,142,95
WBGene00009735,29,28
WBGene00009739,357,436
WBGene00009740,577,531
WBGene00009754,9,184
WBGene00009755,4,50
WBGene00009776,186,151
WBGene00045253,1,9
WBGene00009778,1,2
WBGene00009785,4,6
WBGene00009779,2,1
WBGene00009780,1,1
WBGene00009784,1278,849
WBGene00018484,2,2
WBGene00018485,30,52
WBGene00018489,2,1
WBGene00018513,208,114
WBGene00018510,139,92
WBGene00018511,660,408
WBGene00009787,90,265
WBGene00009797,16,39
WBGene00009798,20,12
WBGene00018515,3,2
WBGene00023460,1,1
WBGene00009816,15,22
WBGene00009820,59,63
WBGene00018532,71,171
WBGene00009811,5,18
WBGene00009804,16,43
WBGene00009809,11,46
WBGene00018562,12,11
WBGene00009825,93,34
WBGene00018580,2,75
WBGene00009829,999,725
WBGene00018585,431,273
WBGene00018598,402,269
WBGene00018599,786,555
WBGene00018605,1143,1451
WBGene00018606,4,2
WBGene00018610,711,636
WBGene00009851,104,138
WBGene00009879,19,20
WBGene00009880,332,262
WBGene00009881,550,636
WBGene00009883,19,40
WBGene00009876,11,21
WBGene00009878,1877,1138
WBGene00018637,43,29
WBGene00018645,3,5
WBGene00018647,6,33
WBGene00044753,3,7
WBGene00009915,524,434
WBGene00009927,3,1
WBGene00009921,889,464
WBGene00009923,103,64
WBGene00018678,484,290
WBGene00018679,214,132
WBGene00018659,169,127
WBGene00018660,37,28
WBGene00018674,465,344
WBGene00009930,138,74
WBGene00018689,97,38
WBGene00044696,443,389
WBGene00018697,6,6
WBGene00009938,10,84
WBGene00018715,9,14
WBGene00018717,69,41
WBGene00009948,21,216
WBGene00018720,5,3
WBGene00018723,43,20
WBGene00018724,27,29
WBGene00018729,21,24
WBGene00018730,12,9
WBGene00018731,15,22
WBGene00018735,185,86
WBGene00018737,5,4
WBGene00009957,338,167
WBGene00018744,58,229
WBGene00009962,13,64
WBGene00009971,61,38
WBGene00009973,311,450
WBGene00044921,15,48
WBGene00018748,1,3
WBGene00018758,88,68
WBGene00018762,336,224
WBGene00009980,523,353
WBGene00009981,100,65
WBGene00009982,101,259
WBGene00009984,2,4
WBGene00018763,14,16
WBGene00009992,1959,1999
WBGene00009993,1675,1105
WBGene00009994,374,223
WBGene00009995,98,312
WBGene00009996,1140,692
WBGene00023419,76,56
WBGene00045195,1,1
WBGene00010000,283,175
WBGene00010001,10,18
WBGene00018772,4,4
WBGene00018777,488,297
WBGene00010007,499,371
WBGene00018784,269,315
WBGene00018785,921,540
WBGene00018795,42,34
WBGene00010045,38,74
WBGene00010041,107,140
WBGene00010043,3,7
WBGene00010044,1523,1045
WBGene00010047,165,317
WBGene00018806,410,211
WBGene00018808,152,106
WBGene00010055,1327,1529
WBGene00010048,523,365
WBGene00010049,706,1309
WBGene00010050,212,150
WBGene00010052,1062,935
WBGene00010053,1035,819
WBGene00018802,1101,678
WBGene00018823,633,427
WBGene00010059,12,31
WBGene00018831,137,72
WBGene00018835,81,53
WBGene00018836,344,210
WBGene00010064,97,185
WBGene00010065,198,222
WBGene00045251,4,3
WBGene00018840,6,21
WBGene00010082,12,98
WBGene00010080,838,475
WBGene00010081,261,169
WBGene00018848,256,182
WBGene00018856,23,28
WBGene00010084,1076,2100
WBGene00010085,661,1860
WBGene00010086,74,103
WBGene00010109,22,26
WBGene00018871,1,1
WBGene00018873,1,2
WBGene00010102,2,1
WBGene00010110,4,11
WBGene00010113,1437,897
WBGene00010114,1,41
WBGene00018891,678,423
WBGene00018902,580,309
WBGene00018904,259,140
WBGene00010123,9,2
WBGene00010124,22,16
WBGene00010128,5,2
WBGene00010133,26,24
WBGene00010135,23,38
WBGene00010136,9,100
WBGene00010132,796,448
WBGene00018925,515,326
WBGene00018926,12,124
WBGene00010140,474,313
WBGene00010141,322,206
WBGene00185001,33,25
WBGene00018937,2,1
WBGene00018946,3,2
WBGene00044977,1,3
WBGene00018954,295,194
WBGene00018948,1694,910
WBGene00018951,233,468
WBGene00018952,8,27
WBGene00010150,54,92
WBGene00044475,5,22
WBGene00018984,296,381
WBGene00010155,10,210
WBGene00018980,1,48
WBGene00010161,416,250
WBGene00010174,166,422
WBGene00010185,75,32
WBGene00019002,1443,995
WBGene00019003,414,372
WBGene00019005,222,165
WBGene00018996,124,98
WBGene00010196,96,219
WBGene00010197,489,385
WBGene00010204,3964,5274
WBGene00010221,73,163
WBGene00010214,1,2
WBGene00019021,4,2
WBGene00010224,3,2
WBGene00010227,292,139
WBGene00019022,11,12
WBGene00019024,2,40
WBGene00019026,7,119
WBGene00010231,800,691
WBGene00010232,1597,1207
WBGene00010238,86,188
WBGene00019029,2,7
WBGene00010243,4,2
WBGene00010246,8,118
WBGene00019044,6,3
WBGene00010254,10,231
WBGene00019061,1533,1641
WBGene00044756,12,25
WBGene00010265,12,133
WBGene00010274,34,24
WBGene00010277,60,43
WBGene00010288,11,9
WBGene00010289,16,190
WBGene00138720,91,67
WBGene00010291,1,1
WBGene00010305,53,36
WBGene00185086,499,266
WBGene00044665,43,79
WBGene00019084,3,60
WBGene00019090,10,4
WBGene00019097,288,472
WBGene00010321,4,4
WBGene00010315,2,8
WBGene00010308,485,341
WBGene00019102,170,206
WBGene00045272,67,125
WBGene00010328,4,2
WBGene00077764,6,26
WBGene00010326,1697,1704
WBGene00019111,10,16
WBGene00019118,2619,1502
WBGene00019119,1,1
WBGene00010337,339,420
WBGene00019128,4,8
WBGene00019153,206,102
WBGene00010368,15,22
WBGene00044483,396,233
WBGene00010373,3,77
WBGene00019196,658,308
WBGene00010407,124,82
WBGene00044310,167,91
WBGene00019236,1,4
WBGene00019244,354,190
WBGene00019248,10,55
WBGene00045261,438,97
WBGene00010422,8,5
WBGene00019261,582,1011
WBGene00019263,26,23
WBGene00019267,1,1
WBGene00010433,190,127
WBGene00019268,10,19
WBGene00019270,16,45
WBGene00019272,18,12
WBGene00010450,78,51
WBGene00019284,24,23
WBGene00019280,173,230
WBGene00010447,1,3
WBGene00010448,4,2
WBGene00010456,427,692
WBGene00010461,4,9
WBGene00010466,1,73
WBGene00010481,72,108
WBGene00010478,4184,2785
WBGene00010486,16,138
WBGene00044607,24,19
WBGene00019290,1,1
WBGene00010495,12,8
WBGene00010499,2,2
WBGene00010500,712,486
WBGene00044679,3,2
WBGene00010503,80,131
WBGene00019304,18,28
WBGene00019298,91,143
WBGene00019317,7,8
WBGene00019320,9,7
WBGene00010512,3,9
WBGene00010514,6,22
WBGene00010515,7,15
WBGene00010516,7,34
WBGene00185118,1,1
WBGene00010507,26,31
WBGene00019315,3,2
WBGene00019311,2,5
WBGene00019324,12,32
WBGene00019332,181,356
WBGene00019353,603,364
WBGene00019354,409,242
WBGene00010524,12,18
WBGene00010525,7,6
WBGene00010547,3,74
WBGene00010542,247,136
WBGene00010544,1,23
WBGene00019373,60,80
WBGene00010553,47,34
WBGene00010555,673,384
WBGene00019382,2,1
WBGene00044312,7,33
WBGene00019388,6,1
WBGene00019394,4,1
WBGene00019399,604,413
WBGene00010563,71,265
WBGene00010567,13,25
WBGene00019400,1240,702
WBGene00010579,489,349
WBGene00010582,1026,562
WBGene00010583,679,382
WBGene00019410,38,403
WBGene00010597,14,55
WBGene00019430,34,323
WBGene00019436,13,33
WBGene00077450,1,22
WBGene00044478,4,4
WBGene00010608,380,196
WBGene00010616,579,384
WBGene00010617,138,297
WBGene00010619,9,12
WBGene00044987,410,229
WBGene00010610,17,24
WBGene00010611,8,50
WBGene00010612,8,94
WBGene00010613,26,29
WBGene00010623,25,89
WBGene00019480,6,6
WBGene00010625,328,243
WBGene00010626,765,487
WBGene00010629,2793,1590
WBGene00010632,2,8
WBGene00019488,4,9
WBGene00019489,26,94
WBGene00019498,183,89
WBGene00010637,110,63
WBGene00010638,532,356
WBGene00010639,271,190
WBGene00010636,1,2
WBGene00019510,10586,7200
WBGene00044509,7,11
WBGene00019509,143,133
WBGene00019512,7,56
WBGene00019520,2,2
WBGene00019522,14,29
WBGene00023486,13,39
WBGene00010646,10,18
WBGene00010648,94,151
WBGene00010650,4,35
WBGene00010651,13,189
WBGene00019540,419,1686
WBGene00010660,150,140
WBGene00010666,99,87
WBGene00010667,85,67
WBGene00010670,445,285
WBGene00010678,909,498
WBGene00010679,10,126
WBGene00010687,1132,564
WBGene00194849,6,18
WBGene00019550,91,215
WBGene00019563,12,34
WBGene00019564,28,2
WBGene00019572,41,89
WBGene00010719,22,70
WBGene00010722,5,1
WBGene00010728,1,31
WBGene00019597,12,27
WBGene00019598,74,50
WBGene00045387,25,30
WBGene00019607,108,73
WBGene00019622,10,14
WBGene00045265,72,116
WBGene00010737,2,5
WBGene00019626,5,77
WBGene00010750,10,20
WBGene00019631,149,116
WBGene00019633,1,1
WBGene00010738,11,23
WBGene00010740,19,62
WBGene00010756,15,17
WBGene00010760,3,1
WBGene00019642,11,119
WBGene00044535,263,419
WBGene00019646,2,1
WBGene00019647,106,274
WBGene00019648,4,5
WBGene00019649,12,21
WBGene00010768,7,9
WBGene00010772,10,12
WBGene00010774,5,5
WBGene00019658,54,48
WBGene00019663,24,62
WBGene00010779,15,88
WBGene00010780,707,413
WBGene00019669,3,3
WBGene00023432,13,28
WBGene00019673,487,542
WBGene00044896,1,12
WBGene00045053,5,9
WBGene00019677,179,105
WBGene00019678,724,542
WBGene00019680,486,429
WBGene00019683,65,49
WBGene00019684,2,1
WBGene00019687,5,4
WBGene00019710,244,132
WBGene00019711,1233,634
WBGene00010805,133,77
WBGene00010807,617,383
WBGene00010809,443,437
WBGene00010815,1410,830
WBGene00010822,77,48
WBGene00019716,226,151
WBGene00010827,3,15
WBGene00010828,1295,786
WBGene00044690,22,13
WBGene00019732,19,47
WBGene00019746,4,4
WBGene00077490,1,2
WBGene00010833,17,26
WBGene00010838,4,8
WBGene00010843,82,65
WBGene00019759,4,4
WBGene00077770,20,33
WBGene00019771,962,547
WBGene00010871,5,100
WBGene00010872,112,144
WBGene00010874,40,212
WBGene00010875,1711,929
WBGene00010879,178,175
WBGene00044924,214,165
WBGene00077658,194,128
WBGene00010913,281,131
WBGene00019789,9,6
WBGene00010918,23,21
WBGene00044253,10,5
WBGene00010922,294,180
WBGene00043057,253,131
WBGene00019799,274,135
WBGene00010924,10,25
WBGene00010935,134,217
WBGene00010940,11,24
WBGene00010947,13,35
WBGene00010943,26,89
WBGene00010944,8,13
WBGene00010889,299,162
WBGene00010948,3,1
WBGene00010901,283,465
WBGene00010896,1284,875
WBGene00010887,27,30
WBGene00019786,519,345
WBGene00010902,106,102
WBGene00010906,21,83
WBGene00010907,5,12
WBGene00019805,23,38
WBGene00019808,283,169
WBGene00010969,3,1
WBGene00010972,12,22
WBGene00019812,1,9
WBGene00023414,2,2
WBGene00019814,1,4
WBGene00019818,28,64
WBGene00019822,1022,570
WBGene00019825,372,239
WBGene00010976,22,25
WBGene00010977,18,51
WBGene00010980,12,45
WBGene00050937,69,36
WBGene00044724,38,8
WBGene00019833,611,368
WBGene00019838,270,167
WBGene00019854,25,63
WBGene00019855,3,3
WBGene00019858,163,465
WBGene00019859,2,19
WBGene00019863,17,41
WBGene00019865,2,4
WBGene00195183,11,19
WBGene00019867,32,53
WBGene00011010,452,315
WBGene00011012,119,50
WBGene00019872,45,42
WBGene00011015,882,944
WBGene00011016,2322,1361
WBGene00011017,210,145
WBGene00011019,13,21
WBGene00011021,1,2
WBGene00011033,337,267
WBGene00011037,1467,848
WBGene00019877,1132,855
WBGene00019878,76,167
WBGene00011026,8,53
WBGene00019890,3773,4385
WBGene00019892,418,319
WBGene00019902,61,144
WBGene00019898,666,433
WBGene00011038,1541,726
WBGene00011039,249,360
WBGene00011040,328,291
WBGene00019909,3,6
WBGene00019911,9,10
WBGene00011059,111,243
WBGene00011060,55,61
WBGene00011062,165,81
WBGene00011065,26,24
WBGene00011082,1,9
WBGene00011092,60,59
WBGene00019932,11,33
WBGene00011108,11,23
WBGene00019937,63,89
WBGene00011120,7,126
WBGene00011112,4,18
WBGene00011114,13,120
WBGene00011115,792,513
WBGene00019944,41,111
WBGene00011131,126,69
WBGene00011128,3184,3210
WBGene00011132,3,73
WBGene00011139,34,21
WBGene00019951,7,99
WBGene00011142,1518,925
WBGene00019963,46,79
WBGene00019968,7,7
WBGene00011154,9,15
WBGene00011171,11,144
WBGene00194658,68,6
WBGene00011172,9,420
WBGene00011176,109,894
WBGene00044514,27,50
WBGene00019986,105,114
WBGene00019987,177,108
WBGene00019989,1297,563
WBGene00019991,1,3
WBGene00011297,3,56
WBGene00011289,42,105
WBGene00011293,3,5
WBGene00011298,186,211
WBGene00011185,29,28
WBGene00011221,64,43
WBGene00011198,180,164
WBGene00011203,18,157
WBGene00011205,52,84
WBGene00011214,45,386
WBGene00019998,35,52
WBGene00011222,210,294
WBGene00011224,22,12
WBGene00020089,315,198
WBGene00011231,2278,3650
WBGene00011234,29,71
WBGene00020007,496,417
WBGene00020009,51,77
WBGene00044725,7,1
WBGene00011252,45,88
WBGene00011253,850,451
WBGene00020017,1,3
WBGene00020018,47,23
WBGene00020019,1,36
WBGene00020025,307,175
WBGene00020027,328,156
WBGene00020036,814,735
WBGene00020038,465,380
WBGene00020039,1,2
WBGene00020040,2,3
WBGene00020034,3,3
WBGene00044504,2,1
WBGene00020043,5,10
WBGene00020050,129,69
WBGene00020054,26,36
WBGene00011263,19,26
WBGene00020098,258,174
WBGene00020099,119,61
WBGene00043060,164,124
WBGene00044648,124,91
WBGene00020093,157,66
WBGene00020096,177,147
WBGene00020105,8,102
WBGene00020113,225,175
WBGene00020109,399,284
WBGene00011302,1172,779
WBGene00011305,7,9
WBGene00011306,530,327
WBGene00011309,72,71
WBGene00011273,3099,3013
WBGene00011274,300,383
WBGene00011281,648,400
WBGene00011310,17,17
WBGene00011317,1,4
WBGene00011319,234,111
WBGene00011320,734,400
WBGene00020143,10,24
WBGene00020148,14,27
WBGene00020149,52,115
WBGene00044025,136,155
WBGene00011349,1201,893
WBGene00011351,5,40
WBGene00011353,31,25
WBGene00020156,2,5
WBGene00044776,5,10
WBGene00011366,16,7
WBGene00011374,100,150
WBGene00011375,834,529
WBGene00011379,14,142
WBGene00011383,1,5
WBGene00020166,1301,1094
WBGene00020181,1056,1158
WBGene00020183,107,56
WBGene00011397,6,23
WBGene00020192,7,19
WBGene00020193,259,148
WBGene00185005,1,2
WBGene00011399,785,570
WBGene00011400,4,9
WBGene00011401,6,126
WBGene00020199,137,88
WBGene00011414,20,118
WBGene00011410,1688,940
WBGene00011431,293,168
WBGene00011434,323,175
WBGene00011435,54,40
WBGene00011439,17,24
WBGene00011441,151,106
WBGene00020215,39,103
WBGene00020218,729,934
WBGene00011449,2311,1532
WBGene00011451,356,210
WBGene00011463,2,7
WBGene00020234,1468,1192
WBGene00020229,92,88
WBGene00020245,121,280
WBGene00194894,1,14
WBGene00011464,1958,932
WBGene00020248,2,2
WBGene00011475,1,7
WBGene00011476,11,10
WBGene00011486,4,14
WBGene00020260,8,21
WBGene00011489,2816,1319
WBGene00011490,672,418
WBGene00011491,17,158
WBGene00011493,15,131
WBGene00011498,67,117
WBGene00011499,13,8
WBGene00020273,467,269
WBGene00020274,472,227
WBGene00077558,4,2
WBGene00011529,547,369
WBGene00011538,484,407
WBGene00011551,2,1
WBGene00020298,639,326
WBGene00045249,79,51
WBGene00044891,106,79
WBGene00020301,71,108
WBGene00020307,3,10
WBGene00045407,378,235
WBGene00011589,583,308
WBGene00011592,2,3
WBGene00020324,1,9
WBGene00020320,1202,664
WBGene00020349,99,131
WBGene00044684,5,69
WBGene00020369,697,1550
WBGene00020374,112,118
WBGene00011641,55,60
WBGene00011634,291,192
WBGene00020376,562,342
WBGene00020378,8,23
WBGene00020380,1,2
WBGene00020381,11,43
WBGene00020382,109,264
WBGene00011642,250,145
WBGene00011662,921,821
WBGene00011663,151,104
WBGene00011669,4,55
WBGene00011680,268,208
WBGene00020401,14,35
WBGene00020402,598,377
WBGene00020396,7,5
WBGene00020389,636,432
WBGene00020390,17,15
WBGene00020393,147,225
WBGene00020411,484,266
WBGene00020418,5,8
WBGene00020422,622,392
WBGene00044604,181,112
WBGene00011692,2,6
WBGene00020426,16,60
WBGene00011706,39,22
WBGene00011708,11,17
WBGene00020433,158,82
WBGene00044499,52,35
WBGene00011712,1,4
WBGene00011719,37,43
WBGene00020438,8,4
WBGene00020445,20,31
WBGene00050914,44,114
WBGene00023450,45,40
WBGene00011733,35,108
WBGene00020467,424,270
WBGene00011741,1096,586
WBGene00020476,10,22
WBGene00020478,1,6
WBGene00020484,1,2
WBGene00020486,49,36
WBGene00011743,787,488
WBGene00011753,1064,1420
WBGene00044205,7,103
WBGene00020491,17,26
WBGene00011758,1501,938
WBGene00011761,955,556
WBGene00011763,2,8
WBGene00020500,541,273
WBGene00020502,15,8
WBGene00020508,118,58
WBGene00011777,58,102
WBGene00020516,313,566
WBGene00011793,14,30
WBGene00011795,16,280
WBGene00011800,22,39
WBGene00011826,1,4
WBGene00011831,57,120
WBGene00020557,274,257
WBGene00020558,1102,639
WBGene00020561,1,1
WBGene00011844,3,7
WBGene00020581,292,587
WBGene00020583,2,2
WBGene00004184,32,52
WBGene00020568,3,9
WBGene00020574,2,4
WBGene00044500,19,43
WBGene00044282,4,4
WBGene00020588,1859,1107
WBGene00020589,30,68
WBGene00045414,1,3
WBGene00020601,797,557
WBGene00020604,1546,1063
WBGene00011850,15,15
WBGene00011854,1,2
WBGene00011856,762,1518
WBGene00011859,54,64
WBGene00011860,467,328
WBGene00020618,1,3
WBGene00020626,3,2
WBGene00020627,19,161
WBGene00020629,444,315
WBGene00011870,44,96
WBGene00011871,258,210
WBGene00020636,1028,859
WBGene00011886,1145,682
WBGene00043054,2,1
WBGene00011880,260,618
WBGene00043998,9,22
WBGene00011898,1028,540
WBGene00011895,2,2
WBGene00020651,11,24
WBGene00020658,591,912
WBGene00020672,266,185
WBGene00020673,48,42
WBGene00020674,54,340
WBGene00011912,1046,557
WBGene00011920,166,89
WBGene00011914,628,375
WBGene00011916,489,263
WBGene00011917,678,439
WBGene00011919,3,38
WBGene00011927,7,6
WBGene00020684,1706,839
WBGene00020705,474,311
WBGene00044553,10,32
WBGene00020721,931,660
WBGene00020710,70,165
WBGene00020713,59,668
WBGene00020714,12,9
WBGene00044298,5,54
WBGene00020726,37,23
WBGene00011944,1207,801
WBGene00011954,6,75
WBGene00011957,12,5
WBGene00020736,11,38
WBGene00020738,251,203
WBGene00020740,48,34
WBGene00011949,4,18
WBGene00011951,11,170
WBGene00011968,15,234
WBGene00077728,6,12
WBGene00011969,419,296
WBGene00011966,1134,932
WBGene00020744,60,47
WBGene00020756,37,54
WBGene00011975,648,400
WBGene00011976,740,477
WBGene00011984,42,126
WBGene00011985,1226,686
WBGene00011986,1448,824
WBGene00020771,63,34
WBGene00020779,1524,944
WBGene00012002,773,445
WBGene00020781,2807,2113
WBGene00020782,132,82
WBGene00012014,181,125
WBGene00012015,1901,1784
WBGene00020799,124,130
WBGene00020801,18,58
WBGene00020797,33,88
WBGene00012021,25,13
WBGene00020806,14,40
WBGene00020811,17,18
WBGene00012029,233,132
WBGene00012030,2770,1496
WBGene00012031,1997,1596
WBGene00020822,536,304
WBGene00020823,182,108
WBGene00020824,1317,769
WBGene00020826,1,2
WBGene00020831,797,576
WBGene00012032,1,6
WBGene00012034,12,18
WBGene00012035,3,2
WBGene00012037,504,337
WBGene00012058,2,1
WBGene00012059,931,611
WBGene00020834,49,80
WBGene00020846,71,183
WBGene00020843,590,378
WBGene00012074,29,9
WBGene00077519,5,53
WBGene00020854,30,76
WBGene00020861,11,47
WBGene00020865,1,9
WBGene00012087,23,293
WBGene00012094,155,177
WBGene00077508,1,2
WBGene00012105,220,157
WBGene00012106,153,105
WBGene00012107,29,32
WBGene00194986,296,176
WBGene00020879,10,20
WBGene00020881,8,11
WBGene00020870,2,1
WBGene00012109,631,351
WBGene00012111,181,126
WBGene00012117,1651,1316
WBGene00012113,176,336
WBGene00044122,1,78
WBGene00012122,22,47
WBGene00012123,3,7
WBGene00012126,1308,749
WBGene00020894,618,649
WBGene00020901,103,94
WBGene00012136,107,84
WBGene00012139,447,693
WBGene00012140,3016,4461
WBGene00012142,52,36
WBGene00012143,8,15
WBGene00012144,309,363
WBGene00020905,6,76
WBGene00012149,497,573
WBGene00012155,2,4
WBGene00020909,944,1224
WBGene00020912,6,7
WBGene00012164,163,83
WBGene00012168,1,7
WBGene00044988,80,60
WBGene00012175,1,4
WBGene00012179,2667,2419
WBGene00012180,72,115
WBGene00012185,157,223
WBGene00012188,417,214
WBGene00012192,201,165
WBGene00012201,47,61
WBGene00012205,650,382
WBGene00012206,958,536
WBGene00020937,60,45
WBGene00020933,854,494
WBGene00020940,11,51
WBGene00020941,44,39
WBGene00020942,388,196
WBGene00012216,285,558
WBGene00012212,129,272
WBGene00012213,363,831
WBGene00020947,25,17
WBGene00020954,51,251
WBGene00020973,2,15
WBGene00012219,15,51
WBGene00012221,72,53
WBGene00012223,2,15
WBGene00020990,31,427
WBGene00021008,3,3
WBGene00020993,365,215
WBGene00020994,470,285
WBGene00012224,3,14
WBGene00012225,79,187
WBGene00012239,4,7
WBGene00012240,14,11
WBGene00021022,386,256
WBGene00021024,345,368
WBGene00021026,480,297
WBGene00012243,1585,800
WBGene00012247,21,8
WBGene00012249,2,38
WBGene00012252,32,63
WBGene00044153,5,4
WBGene00012279,2,19
WBGene00021035,4436,2415
WBGene00021038,1081,674
WBGene00012289,6,16
WBGene00021044,28,35
WBGene00021048,916,1683
WBGene00021050,163,389
WBGene00012291,185,360
WBGene00012300,3,4
WBGene00012325,5,3
WBGene00021072,1,3
WBGene00021074,305,225
WBGene00021079,15,41
WBGene00021080,3,9
WBGene00021088,8790,4604
WBGene00012343,602,502
WBGene00012345,9,55
WBGene00021101,43,74
WBGene00021093,1468,920
WBGene00021114,32,97
WBGene00012351,1237,1008
WBGene00194660,1,2
WBGene00012359,881,621
WBGene00012362,446,390
WBGene00012358,134,268
WBGene00021121,11,43
WBGene00012371,21,17
WBGene00021128,608,1959
WBGene00044433,4,5
WBGene00185079,119,95
WBGene00021148,16,43
WBGene00021135,5,6
WBGene00022415,5,6
WBGene00022416,17,13
WBGene00022417,1,2
WBGene00022419,31,20
WBGene00022426,468,321
WBGene00022428,98,56
WBGene00194913,9,9
WBGene00013654,426,459
WBGene00013657,3,34
WBGene00013658,134,106
WBGene00013647,314,453
WBGene00013650,19,28
WBGene00013671,112,96
WBGene00013682,796,572
WBGene00013684,8,78
WBGene00013692,19,18
WBGene00013694,250,146
WBGene00013696,2,83
WBGene00013702,15,9
WBGene00013704,73,115
WBGene00013710,13,59
WBGene00013713,25,331
WBGene00013716,6,11
WBGene00013723,18,149
WBGene00013724,231,160
WBGene00013726,159,103
WBGene00013719,711,347
WBGene00013720,147,86
WBGene00022439,2,1
WBGene00022445,5,21
WBGene00022452,616,387
WBGene00045212,37,55
WBGene00022457,125,147
WBGene00013727,256,185
WBGene00013728,370,224
WBGene00013791,3,8
WBGene00013784,11,18
WBGene00189943,3,6
WBGene00022466,605,373
WBGene00022490,28,62
WBGene00022491,491,260
WBGene00022497,455,816
WBGene00012434,173,149
WBGene00012429,1,3
WBGene00012439,34,48
WBGene00021190,2,3
WBGene00021192,1192,752
WBGene00012443,19,26
WBGene00012444,158,113
WBGene00012452,13,46
WBGene00012465,198,150
WBGene00012468,624,932
WBGene00012472,409,365
WBGene00012459,164,110
WBGene00012462,83,42
WBGene00021195,1,2
WBGene00021202,626,414
WBGene00021205,116,71
WBGene00012481,1677,773
WBGene00012479,137,96
WBGene00021215,8,21
WBGene00021208,245,169
WBGene00021210,141,127
WBGene00021213,2,1
WBGene00021248,565,384
WBGene00021253,56,79
WBGene00021246,118,86
WBGene00021263,55,181
WBGene00021269,110,47
WBGene00021272,1,4
WBGene00021274,4,5
WBGene00021277,1369,801
WBGene00021296,140,160
WBGene00021293,3,6
WBGene00012513,17,14
WBGene00012514,45,146
WBGene00086568,2,5
WBGene00012529,30,54
WBGene00021314,48,20
WBGene00021321,6,27
WBGene00021322,395,694
WBGene00021323,113,98
WBGene00021325,220,363
WBGene00021339,1,7
WBGene00021340,91,93
WBGene00012536,13,6
WBGene00012554,41,66
WBGene00012557,281,661
WBGene00012544,1538,2933
WBGene00012560,56,47
WBGene00012545,1,12
WBGene00012548,36,68
WBGene00021358,6,40
WBGene00021366,183,132
WBGene00021367,56,43
WBGene00021375,5,10
WBGene00021377,379,232
WBGene00021378,63,45
WBGene00021379,1,3
WBGene00021382,106,270
WBGene00012562,506,329
WBGene00045416,6,51
WBGene00014871,12,15
WBGene00021398,31,238
WBGene00021400,7,6
WBGene00012592,24,51
WBGene00012595,39,381
WBGene00012600,3751,3718
WBGene00012602,91,128
WBGene00012605,12,130
WBGene00012606,60,53
WBGene00012610,3,7
WBGene00021421,299,209
WBGene00021427,160,131
WBGene00012628,10,4
WBGene00012631,2,10
WBGene00012634,23,12
WBGene00012635,3,3
WBGene00012637,10,209
WBGene00012638,7,107
WBGene00012652,242,169
WBGene00012656,1,6
WBGene00012657,22,12
WBGene00012660,99,98
WBGene00012643,282,161
WBGene00021440,619,339
WBGene00012664,3964,9037
WBGene00012672,139,85
WBGene00012675,205,124
WBGene00012692,1030,892
WBGene00012693,74,54
WBGene00012700,266,219
WBGene00012720,5,29
WBGene00012721,4,20
WBGene00012717,19,53
WBGene00206368,1,5
WBGene00021458,1,1
WBGene00021472,5,64
WBGene00012723,78,44
WBGene00012728,3,5
WBGene00021478,6,5
WBGene00021485,1,1
WBGene00021493,51,52
WBGene00012739,373,266
WBGene00012747,264,602
WBGene00012761,1,22
WBGene00012754,3,24
WBGene00021507,1276,841
WBGene00021508,306,195
WBGene00021514,1078,629
WBGene00021516,5,1
WBGene00021519,4,9
WBGene00021520,1,1
WBGene00045146,4,3
WBGene00012766,52,31
WBGene00012780,25,19
WBGene00021531,9,6
WBGene00021532,11,28
WBGene00021541,858,496
WBGene00021543,108,144
WBGene00012782,353,802
WBGene00012783,8,5
WBGene00012794,42,86
WBGene00012807,273,150
WBGene00012804,389,247
WBGene00012809,22,297
WBGene00012819,7,5
WBGene00012834,96,143
WBGene00012827,9,54
WBGene00012829,307,238
WBGene00012831,2,61
WBGene00021545,862,628
WBGene00012850,29,18
WBGene00012851,7,4
WBGene00012853,1,3
WBGene00012854,33,79
WBGene00012858,260,149
WBGene00012878,11,2
WBGene00012880,112,219
WBGene00012892,1,6
WBGene00044257,1,3
WBGene00012883,1,4
WBGene00012885,352,324
WBGene00012861,8,14
WBGene00021558,12,20
WBGene00021559,687,410
WBGene00021589,2,4
WBGene00012905,1,27
WBGene00012906,26,48
WBGene00012919,11,13
WBGene00012899,8,5
WBGene00012900,27,13
WBGene00012926,15,107
WBGene00012927,113,65
WBGene00012932,369,230
WBGene00012937,11,85
WBGene00012924,3,18
WBGene00012941,12,4
WBGene00012942,22,57
WBGene00021630,1,4
WBGene00021632,3,36
WBGene00021640,289,179
WBGene00021641,47,11
WBGene00021644,449,323
WBGene00021646,82,84
WBGene00021647,347,469
WBGene00021649,656,325
WBGene00021633,15,61
WBGene00045399,203,306
WBGene00021654,25,12
WBGene00012955,2,1
