wormbase_gene,Uniq_reads_num.5784560.,Uniq_reads_num.5230459.
WBGene00044294,46,142
WBGene00015278,291,588
WBGene00015282,1406,813
WBGene00015283,664,457
WBGene00015291,285,151
WBGene00015301,851,550
WBGene00007222,19,140
WBGene00007223,849,700
WBGene00007237,225,235
WBGene00007239,4,71
WBGene00007234,488,325
WBGene00007244,8,54
WBGene00007249,4,20
WBGene00015307,229,112
WBGene00007225,1151,614
WBGene00007226,254,245
WBGene00007227,3427,2536
WBGene00007253,1,5
WBGene00007254,1,6
WBGene00015328,30,58
WBGene00015329,1062,634
WBGene00015322,5,24
WBGene00043097,137,146
WBGene00015339,2,3
WBGene00015355,33,24
WBGene00007264,8,2
WBGene00015351,13,20
WBGene00015352,117,102
WBGene00015353,245,142
WBGene00044445,15,38
WBGene00015346,646,433
WBGene00015348,4,43
WBGene00007267,277,248
WBGene00015381,23,69
WBGene00015382,14,13
WBGene00015386,5,39
WBGene00007274,2,43
WBGene00015390,14,38
WBGene00015402,2,7
WBGene00015393,24,37
WBGene00015405,791,431
WBGene00015409,1,1
WBGene00007285,2,4
WBGene00015433,28,64
WBGene00015427,9,7
WBGene00015423,18,47
WBGene00045270,1,6
WBGene00015442,2,2
WBGene00007301,121,988
WBGene00015450,446,260
WBGene00007308,73,580
WBGene00015453,2,1
WBGene00015454,357,213
WBGene00007312,70,50
WBGene00007324,53,93
WBGene00007330,1911,1502
WBGene00007334,208,134
WBGene00007337,2,44
WBGene00015462,521,335
WBGene00015464,147,191
WBGene00015481,1828,1275
WBGene00015483,9,24
WBGene00015486,815,483
WBGene00007341,6,6
WBGene00044029,3,1
WBGene00015469,227,399
WBGene00015474,33,11
WBGene00015494,21,23
WBGene00007349,44,74
WBGene00007354,14,82
WBGene00044414,27,23
WBGene00015516,6,100
WBGene00007365,293,141
WBGene00007377,4,3
WBGene00007382,3,7
WBGene00015518,44,22
WBGene00015524,827,447
WBGene00015529,49,27
WBGene00015537,2,13
WBGene00015539,20,53
WBGene00015541,45,45
WBGene00015546,4,19
WBGene00015549,6,6
WBGene00015552,155,124
WBGene00015554,172,106
WBGene00015558,3,14
WBGene00007391,276,164
WBGene00007394,73,128
WBGene00007398,1,2
WBGene00015566,5,12
WBGene00015569,50,55
WBGene00015565,1370,1084
WBGene00007420,5,2
WBGene00007414,13,49
WBGene00007419,48,55
WBGene00007421,6,17
WBGene00015579,257,162
WBGene00015582,1,5
WBGene00044773,81,167
WBGene00007436,176,99
WBGene00007430,19,49
WBGene00007424,3,30
WBGene00007429,207,128
WBGene00077692,17,25
WBGene00007440,17,58
WBGene00007459,1,1
WBGene00007460,155,41
WBGene00007445,882,470
WBGene00007449,18,28
WBGene00015619,28,35
WBGene00007474,2,9
WBGene00015621,49,81
WBGene00015629,6,124
WBGene00015633,138,294
WBGene00015634,12,119
WBGene00206357,1,7
WBGene00007476,77,48
WBGene00007478,2,21
WBGene00007486,53,112
WBGene00007487,6,2
WBGene00044001,185,86
WBGene00007492,950,841
WBGene00007503,13,38
WBGene00015665,10,14
WBGene00015668,1,4
WBGene00015671,23,61
WBGene00007507,24,11
WBGene00007511,2,5
WBGene00007512,3,47
WBGene00015673,10,16
WBGene00015690,1,13
WBGene00015702,433,227
WBGene00015703,231,176
WBGene00007522,1,2
WBGene00007525,28,58
WBGene00007528,21,20
WBGene00015708,1,1
WBGene00015728,9,8
WBGene00015729,1,6
WBGene00015744,146,88
WBGene00015745,822,403
WBGene00015746,529,439
WBGene00007553,212,277
WBGene00015747,623,359
WBGene00050944,105,81
WBGene00007557,4,10
WBGene00007559,3,22
WBGene00050956,2,52
WBGene00184990,168,94
WBGene00007573,727,388
WBGene00007574,181,246
WBGene00007580,2143,1100
WBGene00015755,199,256
WBGene00015752,416,476
WBGene00015753,3,7
WBGene00015765,5,47
WBGene00015768,4,2
WBGene00015769,104,64
WBGene00015756,36,114
WBGene00015759,88,38
WBGene00015781,3,16
WBGene00007597,6,93
WBGene00007598,2,10
WBGene00007600,4,3
WBGene00007603,223,123
WBGene00015791,69,153
WBGene00015792,1,2
WBGene00015793,26,24
WBGene00007606,733,449
WBGene00007609,58,54
WBGene00015795,7,18
WBGene00007610,6,115
WBGene00015805,2,31
WBGene00015803,264,646
WBGene00185089,106,83
WBGene00015816,145,114
WBGene00015820,11,57
WBGene00015807,105,68
WBGene00015809,1524,828
